round_epochs,loss,val_loss,k,lstm_dim,dnn_dim,lr,dropout,l1,l2,activation_function
111,0.0977306216955185,0.5700186491012573,50,[64],[64, 64],0.001,0.2,0.001,0,tanh
200,0.17273902893066406,0.565500020980835,30,[64],[64, 64],0.0005,0.1,0.001,0,relu
300,12.993583679199219,12.959657669067383,20,[64],[64, 64],1e-05,0.3,0.01,0.001,sigmoid
77,0.2660820186138153,0.4753149747848511,30,[64],[64, 64],0.001,0.2,0.0001,0,tanh
300,1.053932785987854,1.211944580078125,50,[64],[64, 64],0.0001,0.1,0.001,0.0001,tanh
300,0.8357976675033569,0.8743273615837097,100,[64],[64, 64],1e-05,0.2,0,0.0001,sigmoid
300,2.190345287322998,2.302093029022217,100,[64],[64, 64],0.0001,0.3,0.001,0.01,tanh
60,0.2803628146648407,0.4740128815174103,30,[64],[64, 64],0.001,0.3,0,0,relu
130,0.1426224410533905,0.6309778690338135,50,[64],[64, 64],0.001,0.1,0.01,0.01,relu
121,0.10499759763479233,0.7026269435882568,100,[64],[64, 64],0.001,0.3,0.01,0.0001,sigmoid
300,1.3929680585861206,1.5793206691741943,100,[64],[64, 64],0.0001,0.2,0.001,0.001,sigmoid
25,0.10792824625968933,0.7463865280151367,20,[64],[64, 64],0.01,0.2,0,0.01,tanh
131,0.3206334710121155,0.581304669380188,30,[64],[64, 64],0.001,0.2,0.01,0.001,sigmoid
45,0.45872610807418823,1.5233519077301025,100,[64],[64, 64],0.01,0.3,0.01,0.01,relu
300,0.42502206563949585,0.5053022503852844,20,[64],[64, 64],0.0001,0.2,0,0.001,tanh
220,0.21344077587127686,0.5866981744766235,100,[64],[64, 64],0.0005,0.3,0.001,0,tanh
300,7.686084270477295,7.717806816101074,30,[64],[64, 64],0.0001,0.2,0.01,0.01,tanh
24,0.07329851388931274,0.6311607360839844,100,[64],[64, 64],0.01,0.3,0,0,sigmoid
263,0.09073571115732193,0.6402105093002319,50,[64],[64, 64],0.0005,0.1,0.001,0.01,tanh
300,1.3013355731964111,1.435447335243225,100,[64],[64, 64],0.0001,0.3,0.001,0,tanh
300,1.2517480850219727,1.3115298748016357,20,[64],[64, 64],0.0001,0.2,0.001,0.001,sigmoid
41,0.27478525042533875,1.211323618888855,20,[64],[64, 64],0.01,0.3,0.01,0.001,sigmoid
129,0.20649008452892303,0.5424157381057739,30,[64],[64, 64],0.001,0.2,0.01,0.001,tanh
131,0.17812582850456238,0.49865883588790894,30,[64],[64, 64],0.001,0.3,0.001,0.0001,sigmoid
43,0.31252166628837585,1.0926650762557983,50,[64],[64, 64],0.01,0.2,0.01,0.0001,tanh
43,0.22630338370800018,1.0137280225753784,20,[64],[64, 64],0.01,0.3,0.01,0,tanh
133,0.11863750219345093,0.6442420482635498,50,[64],[64, 64],0.001,0.1,0.001,0.01,relu
49,0.2621931731700897,0.5434871912002563,20,[64],[64, 64],0.001,0.2,0.0001,0.0001,tanh
