round_epochs,loss,val_loss,k,lstm_dim,dnn_dim,lr,dropout,l1,l2,activation_function
16,0.2813881039619446,1.4859514236450195,20,[64],[64, 64],0.01,0.1,0.0001,0.0001,relu
16,0.29928070306777954,1.5488860607147217,20,[64],[64, 64],0.01,0.1,0.001,0.01,relu
22,0.5191815495491028,0.8687021732330322,100,[64],[64, 64],0.0005,0.1,0.001,0.001,tanh
18,0.5731035470962524,0.8220186829566956,20,[64],[64, 64],0.001,0.1,0.0001,0,sigmoid
23,0.5803960561752319,0.8472139239311218,100,[64],[64, 64],0.0005,0.3,0.01,0.01,tanh
300,0.657888650894165,0.7478274703025818,100,[64],[64, 64],1e-05,0.3,0.0001,0.01,relu
23,0.6483829617500305,0.754197895526886,20,[64],[64, 64],0.0005,0.2,0.01,0.001,relu
300,0.6654586791992188,0.7361971735954285,30,[64],[64, 64],1e-05,0.1,0.001,0,tanh
50,0.6261981129646301,0.761773407459259,100,[64],[64, 64],0.0001,0.3,0.01,0.001,tanh
50,0.619021475315094,0.7773274779319763,100,[64],[64, 64],0.0001,0.3,0.01,0.001,relu
19,0.4237045347690582,1.0324819087982178,100,[64],[64, 64],0.001,0.3,0.01,0.001,tanh
22,0.601127564907074,0.8102472424507141,50,[64],[64, 64],0.0005,0.2,0.001,0,sigmoid
16,0.3103834092617035,1.1935734748840332,100,[64],[64, 64],0.01,0.3,0.001,0.0001,relu
52,0.6537979245185852,0.714540421962738,20,[64],[64, 64],0.0001,0.1,0,0.001,tanh
21,0.5133970379829407,0.8490209579467773,100,[64],[64, 64],0.0005,0.2,0.0001,0,tanh
