round_epochs,loss,val_loss,lr,first_neuron,batch_size,epochs,dropout,loss,last_activation,weight_regulizer
11,0.6065053343772888,1.1225818395614624,0.1,16,2,200,0.12,categorical_crossentropy,softmax,None
13,0.6066694855690002,1.1259044408798218,0.1,16,2,200,0.16,categorical_crossentropy,softmax,None
11,0.6065308451652527,1.1308010816574097,0.1,16,2,200,0.2,categorical_crossentropy,softmax,None
12,0.6063714027404785,1.1364872455596924,0.1,16,2,200,0.24,categorical_crossentropy,softmax,None
12,0.6064363718032837,1.139877438545227,0.1,16,2,200,0.28,categorical_crossentropy,softmax,None
12,0.6063847541809082,1.1441895961761475,0.1,16,2,200,0.32,categorical_crossentropy,softmax,None
11,0.6066023707389832,1.1484503746032715,0.1,16,2,200,0.36,categorical_crossentropy,softmax,None
12,0.6065752506256104,1.1520158052444458,0.1,16,3,200,0.0,categorical_crossentropy,softmax,None
11,0.6064862608909607,1.1573079824447632,0.1,16,3,200,0.04,categorical_crossentropy,softmax,None
12,0.6063810586929321,1.1604536771774292,0.1,16,3,200,0.08,categorical_crossentropy,softmax,None
11,0.606370747089386,1.1641669273376465,0.1,16,3,200,0.12,categorical_crossentropy,softmax,None
11,0.6064026951789856,1.1674033403396606,0.1,16,3,200,0.16,categorical_crossentropy,softmax,None
12,0.6065813302993774,1.1728204488754272,0.1,16,3,200,0.2,categorical_crossentropy,softmax,None
11,0.6064974069595337,1.174757480621338,0.1,16,3,200,0.24,categorical_crossentropy,softmax,None
16,0.606235921382904,1.1786383390426636,0.1,16,3,200,0.28,categorical_crossentropy,softmax,None
11,0.6063410043716431,1.1812132596969604,0.1,16,3,200,0.32,categorical_crossentropy,softmax,None
12,0.6063382029533386,1.1835017204284668,0.1,16,3,200,0.36,categorical_crossentropy,softmax,None
12,0.6062641739845276,1.1860971450805664,0.1,16,4,200,0.0,categorical_crossentropy,softmax,None
11,0.6065581440925598,1.190536618232727,0.1,16,4,200,0.04,categorical_crossentropy,softmax,None
11,0.6063300967216492,1.1923891305923462,0.1,16,4,200,0.08,categorical_crossentropy,softmax,None
