round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
19,0.04994820058345795,0.08554061502218246,30,[64, 64],0.001,0.3,0,0,relu
18,0.04698741063475609,0.08938045054674149,100,[64, 64],0.001,0.1,0.0001,0,relu
63,0.055540092289447784,0.0813397765159607,50,[64, 64],0.0001,0.1,0,0.0001,relu
70,0.055318642407655716,0.08235768228769302,50,[64, 64],0.0001,0.2,0.001,0.01,tanh
29,0.051023971289396286,0.08439088612794876,30,[64, 64],0.001,0.2,0.0001,0.01,relu
31,0.05197688192129135,0.08276848495006561,50,[64, 64],0.0005,0.1,0.01,0,relu
22,0.049493953585624695,0.08605197817087173,30,[64, 64],0.001,0.2,0,0.0001,tanh
83,0.05580725148320198,0.08127928525209427,50,[64, 64],0.0001,0.3,0.01,0.0001,sigmoid
22,0.048539526760578156,0.08784493803977966,20,[64, 64],0.001,0.3,0,0,sigmoid
25,0.05161072686314583,0.08644310384988785,50,[64, 64],0.001,0.1,0.001,0,tanh
127,0.05623754858970642,0.0811384916305542,30,[64, 64],0.0001,0.2,0.001,0.001,tanh
300,0.07551199942827225,0.0874975323677063,50,[64, 64],1e-05,0.1,0.01,0.001,sigmoid
19,0.04783765226602554,0.0870707705616951,50,[64, 64],0.001,0.2,0.01,0,tanh
131,0.05708387494087219,0.08077256381511688,20,[64, 64],0.0001,0.3,0.001,0.0001,relu
22,0.04952555522322655,0.08591388911008835,100,[64, 64],0.0005,0.3,0.001,0.001,tanh
36,0.05362332984805107,0.08275624364614487,100,[64, 64],0.0001,0.2,0.01,0.001,sigmoid
23,0.048923466354608536,0.08736085891723633,20,[64, 64],0.001,0.2,0.01,0,relu
300,0.06155415624380112,0.0836586207151413,50,[64, 64],1e-05,0.3,0.0001,0.0001,relu
18,0.04733405262231827,0.08865676820278168,100,[64, 64],0.001,0.3,0.001,0,tanh
64,0.05512753129005432,0.08121536672115326,50,[64, 64],0.0001,0.3,0.01,0,sigmoid
56,0.05466625839471817,0.08157487958669662,50,[64, 64],0.0001,0.2,0.001,0.001,sigmoid
65,0.05662136897444725,0.08483081310987473,30,[64, 64],0.0001,0.1,0.0001,0.0001,relu
28,0.04999329894781113,0.08587109297513962,100,[64, 64],0.0005,0.3,0,0.0001,relu
