round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
27,0.0790795311331749,0.0906810536980629,100,[64, 64],0.001,0.1,0,0.001,tanh
17,0.0772964358329773,0.09243026375770569,100,[64, 64],0.0001,0.1,0.01,0.0001,tanh
16,0.07671011984348297,0.09398797154426575,50,[64, 64],1e-05,0.2,0.001,0.01,tanh
16,0.07630640268325806,0.09510687738656998,50,[64, 64],0.001,0.2,0.001,0,relu
16,0.07610058784484863,0.09584780782461166,50,[64, 64],0.0005,0.3,0.01,0,tanh
16,0.0760486051440239,0.09617548435926437,20,[64, 64],0.0005,0.1,0,0.0001,sigmoid
16,0.07595908641815186,0.0968475416302681,30,[64, 64],0.0001,0.2,0.0001,0,sigmoid
16,0.07598039507865906,0.09689545631408691,20,[64, 64],1e-05,0.2,0.001,0,sigmoid
24,0.07591357082128525,0.09737789630889893,100,[64, 64],0.0001,0.1,0.001,0.001,sigmoid
17,0.07593534141778946,0.09718994051218033,20,[64, 64],0.0001,0.2,0.001,0.01,relu
20,0.07592521607875824,0.09716920554637909,30,[64, 64],0.0005,0.3,0.0001,0.01,relu
24,0.07594767212867737,0.09738956391811371,50,[64, 64],0.0005,0.2,0.01,0.0001,sigmoid
18,0.07595401257276535,0.0975058376789093,20,[64, 64],0.0001,0.1,0.001,0.001,tanh
18,0.07596021890640259,0.0976179912686348,20,[64, 64],0.0005,0.2,0.01,0,tanh
20,0.07589773088693619,0.09751527011394501,30,[64, 64],0.0005,0.2,0.01,0.001,sigmoid
24,0.07593991607427597,0.09727633744478226,100,[64, 64],0.0005,0.2,0.0001,0.01,relu
17,0.0759219080209732,0.09754012525081635,20,[64, 64],1e-05,0.1,0.001,0.001,sigmoid
26,0.07591314613819122,0.09739947319030762,20,[64, 64],0.0005,0.2,0.01,0.001,tanh
18,0.07588601857423782,0.0973348319530487,100,[64, 64],0.001,0.2,0.0001,0.0001,tanh
42,0.07595303654670715,0.09736431390047073,30,[64, 64],0.001,0.3,0.01,0,relu
19,0.07587335258722305,0.09732422232627869,30,[64, 64],0.0001,0.1,0.01,0.001,tanh
17,0.07589904963970184,0.0975073054432869,100,[64, 64],0.001,0.3,0,0.0001,tanh
23,0.0759405717253685,0.09745095670223236,50,[64, 64],0.0005,0.1,0.0001,0,sigmoid
