round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
29,0.0770222395658493,0.08765080571174622,100,[64, 64],0.0001,0.1,0.001,0.001,relu
16,0.07530781626701355,0.08912307024002075,20,[64, 64],0.0005,0.1,0.001,0.01,tanh
16,0.07447674870491028,0.090745709836483,30,[64, 64],0.001,0.2,0.001,0.001,relu
17,0.07401861995458603,0.09215786308050156,20,[64, 64],1e-05,0.1,0.001,0.0001,relu
16,0.07375232130289078,0.09312872588634491,50,[64, 64],0.0005,0.2,0.01,0,sigmoid
16,0.07367490231990814,0.09379078447818756,50,[64, 64],1e-05,0.2,0,0.01,relu
17,0.07355713844299316,0.09431718289852142,50,[64, 64],0.0005,0.3,0.001,0,relu
18,0.07350572198629379,0.09490987658500671,50,[64, 64],1e-05,0.2,0.001,0.0001,tanh
17,0.0734817162156105,0.09516895562410355,30,[64, 64],0.0001,0.3,0.0001,0.001,sigmoid
18,0.07343260943889618,0.09533775597810745,30,[64, 64],1e-05,0.1,0,0.01,sigmoid
20,0.07343900948762894,0.09555363655090332,20,[64, 64],0.001,0.3,0.001,0.001,relu
16,0.0734214037656784,0.09582498669624329,20,[64, 64],0.0001,0.3,0.001,0.0001,tanh
26,0.07343647629022598,0.09584927558898926,100,[64, 64],1e-05,0.2,0,0.0001,relu
18,0.0733758956193924,0.09620054811239243,50,[64, 64],0.0001,0.3,0.001,0.0001,relu
18,0.07353978604078293,0.09645498543977737,30,[64, 64],0.001,0.3,0.01,0.01,tanh
29,0.07343359291553497,0.09638262540102005,100,[64, 64],1e-05,0.1,0.0001,0.001,relu
29,0.07338385283946991,0.09643317013978958,20,[64, 64],0.0005,0.2,0,0.001,sigmoid
26,0.07340671122074127,0.09662576764822006,20,[64, 64],0.0005,0.2,0,0.0001,tanh
30,0.07343196123838425,0.09622909873723984,20,[64, 64],0.0001,0.2,0.0001,0.0001,tanh
40,0.07344067096710205,0.09622769802808762,20,[64, 64],1e-05,0.2,0.001,0.01,relu
16,0.07339523732662201,0.09621835500001907,30,[64, 64],0.001,0.3,0.01,0.01,sigmoid
28,0.07338586449623108,0.09647347778081894,20,[64, 64],0.001,0.2,0,0.0001,relu
33,0.07341473549604416,0.09630528092384338,20,[64, 64],0.0005,0.2,0.001,0,relu
