round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
153,0.05908418819308281,0.08449626713991165,30,[64, 64],0.0001,0.1,0,0.001,tanh
300,0.0977242961525917,0.1031830757856369,100,[64, 64],1e-05,0.2,0,0.0001,sigmoid
83,0.05571732297539711,0.08283606916666031,50,[64, 64],0.0001,0.1,0.01,0.0001,sigmoid
28,0.05363798886537552,0.08671291172504425,50,[64, 64],0.0005,0.1,0.001,0.0001,sigmoid
27,0.049782298505306244,0.08621511608362198,20,[64, 64],0.001,0.1,0.001,0.0001,relu
300,0.07058721780776978,0.084249347448349,100,[64, 64],1e-05,0.2,0.001,0,relu
29,0.05104328691959381,0.08487395197153091,30,[64, 64],0.0005,0.1,0,0.01,sigmoid
20,0.047156933695077896,0.08861463516950607,100,[64, 64],0.0005,0.2,0,0,relu
79,0.05639027804136276,0.08422932028770447,50,[64, 64],0.0001,0.3,0.01,0,sigmoid
80,0.05740632489323616,0.08405660837888718,100,[64, 64],0.0001,0.2,0,0.001,tanh
27,0.04961750656366348,0.08624503016471863,30,[64, 64],0.001,0.3,0.01,0.001,sigmoid
21,0.046970050781965256,0.08886633813381195,30,[64, 64],0.001,0.1,0.001,0.001,tanh
300,0.06300971657037735,0.08776520937681198,30,[64, 64],1e-05,0.3,0.001,0.001,relu
300,0.10359782725572586,0.10841898620128632,20,[64, 64],1e-05,0.2,0.01,0.0001,relu
300,0.13061955571174622,0.1382562667131424,30,[64, 64],1e-05,0.1,0.001,0.001,sigmoid
29,0.05125873535871506,0.08677823096513748,50,[64, 64],0.0005,0.1,0.0001,0.01,sigmoid
27,0.049853790551424026,0.08670124411582947,30,[64, 64],0.0005,0.3,0.01,0.001,sigmoid
25,0.05146728828549385,0.08679139614105225,30,[64, 64],0.0005,0.1,0.0001,0.0001,relu
284,0.058059725910425186,0.08365083485841751,100,[64, 64],1e-05,0.1,0.001,0.0001,tanh
83,0.05570460855960846,0.0847841203212738,50,[64, 64],0.0001,0.2,0.001,0.0001,relu
19,0.043808817863464355,0.09094429761171341,100,[64, 64],0.001,0.1,0.0001,0.001,tanh
66,0.05605115741491318,0.08169876784086227,50,[64, 64],0.0001,0.3,0.01,0.01,relu
28,0.049471400678157806,0.08664152771234512,20,[64, 64],0.0005,0.3,0.001,0,sigmoid
