round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
21,0.047831203788518906,0.09011417627334595,100,[64, 64],0.001,0.2,0.001,0,tanh
28,0.05384788662195206,0.0863887295126915,100,[64, 64],0.0005,0.2,0.0001,0,sigmoid
28,0.05449700728058815,0.08850736171007156,30,[64, 64],0.001,0.3,0.001,0.0001,relu
26,0.0516124963760376,0.08893552422523499,100,[64, 64],0.0005,0.2,0,0,relu
21,0.05206014961004257,0.089462049305439,100,[64, 64],0.0005,0.1,0,0,relu
156,0.062064629048109055,0.08226630836725235,30,[64, 64],0.0001,0.2,0.0001,0.01,relu
300,0.08196763694286346,0.08993077278137207,30,[64, 64],1e-05,0.3,0,0.01,relu
300,0.09371336549520493,0.0972529724240303,50,[64, 64],1e-05,0.3,0,0,sigmoid
21,0.052822649478912354,0.08983957022428513,30,[64, 64],0.001,0.1,0,0.0001,relu
159,0.063041552901268,0.08427184820175171,50,[64, 64],0.0001,0.3,0.001,0.001,tanh
43,0.05633215978741646,0.08571779727935791,30,[64, 64],0.0005,0.1,0.0001,0.001,relu
34,0.05531630292534828,0.08638530224561691,50,[64, 64],0.0005,0.1,0.01,0,sigmoid
19,0.04939209297299385,0.09016551822423935,50,[64, 64],0.001,0.1,0,0.01,tanh
300,0.0654674619436264,0.0872628390789032,100,[64, 64],1e-05,0.2,0,0.0001,sigmoid
300,0.09361269325017929,0.10049179941415787,100,[64, 64],1e-05,0.2,0.01,0.001,relu
133,0.060984425246715546,0.08233053982257843,30,[64, 64],0.0001,0.3,0,0,tanh
25,0.05285622179508209,0.0889236330986023,100,[64, 64],0.0005,0.2,0.01,0.001,sigmoid
300,0.14623861014842987,0.1482822448015213,20,[64, 64],1e-05,0.2,0.001,0.001,relu
87,0.060842789709568024,0.08322969824075699,100,[64, 64],0.0001,0.3,0.01,0.0001,tanh
39,0.0566653273999691,0.08605141192674637,50,[64, 64],0.0005,0.1,0.01,0.01,sigmoid
128,0.06287673115730286,0.0820619985461235,30,[64, 64],0.0001,0.2,0.01,0,sigmoid
115,0.062343936413526535,0.082793690264225,20,[64, 64],0.0001,0.2,0.001,0.001,relu
35,0.05700082704424858,0.08461053669452667,20,[64, 64],0.0005,0.2,0.0001,0.01,tanh
