round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
170,0.24671104550361633,0.25055935978889465,30,[64, 64],1e-05,0.1,0,0.01,sigmoid
83,0.2297714352607727,0.25925949215888977,100,[64, 64],0.0001,0.3,0.01,0.01,tanh
300,0.23480944335460663,0.26002058386802673,100,[64, 64],1e-05,0.2,0.0001,0.0001,tanh
103,0.22753272950649261,0.2656323313713074,50,[64, 64],0.0001,0.2,0.01,0.001,relu
17,0.2266484946012497,0.26457566022872925,20,[64, 64],0.0005,0.3,0.001,0.001,relu
21,0.2232501059770584,0.26780810952186584,30,[64, 64],0.0005,0.1,0.0001,0.001,relu
250,0.24813582003116608,0.2500787377357483,50,[64, 64],1e-05,0.1,0.0001,0,tanh
35,0.22660675644874573,0.26314449310302734,20,[64, 64],0.0005,0.1,0.0001,0.0001,tanh
20,0.21889977157115936,0.2723104655742645,20,[64, 64],0.001,0.3,0.01,0.0001,tanh
20,0.196300208568573,0.2752102017402649,100,[64, 64],0.001,0.2,0,0,relu
18,0.2171030193567276,0.2689206004142761,30,[64, 64],0.001,0.2,0.001,0,sigmoid
166,0.24490565061569214,0.2514001429080963,20,[64, 64],1e-05,0.1,0.001,0.01,relu
69,0.2429579645395279,0.2516646981239319,100,[64, 64],1e-05,0.1,0.0001,0.01,relu
300,0.25681188702583313,0.2707586884498596,30,[64, 64],1e-05,0.3,0.001,0.0001,tanh
16,0.20367538928985596,0.27725133299827576,50,[64, 64],0.001,0.2,0.01,0.0001,sigmoid
24,0.22529658675193787,0.26400667428970337,100,[64, 64],0.0005,0.2,0.001,0.0001,sigmoid
18,0.19918878376483917,0.2751794755458832,100,[64, 64],0.001,0.3,0.01,0.001,tanh
16,0.22654074430465698,0.2628311216831207,30,[64, 64],0.0005,0.3,0.001,0.001,relu
23,0.24151310324668884,0.25119858980178833,50,[64, 64],0.0001,0.2,0.001,0.001,relu
28,0.2252272665500641,0.2660045623779297,20,[64, 64],0.0005,0.2,0.001,0.01,tanh
16,0.21562305092811584,0.27654898166656494,30,[64, 64],0.001,0.3,0.01,0,tanh
16,0.22494225203990936,0.27226245403289795,20,[64, 64],0.001,0.1,0.001,0,relu
300,0.2456115037202835,0.25168952345848083,30,[64, 64],1e-05,0.2,0.01,0.001,sigmoid
