round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
33,0.07392735779285431,0.08205734193325043,50,[64, 64],0.0001,0.3,0.001,0.0001,relu
17,0.0723346397280693,0.08346077054738998,30,[64, 64],0.0001,0.2,0.01,0.0001,relu
16,0.0716022402048111,0.08461669832468033,20,[64, 64],0.0001,0.1,0.001,0.01,sigmoid
16,0.07122638821601868,0.08549661934375763,30,[64, 64],1e-05,0.3,0.01,0,sigmoid
17,0.07103060185909271,0.0863540768623352,100,[64, 64],0.0001,0.3,0.001,0.001,sigmoid
17,0.07093443721532822,0.08681682497262955,100,[64, 64],1e-05,0.1,0.0001,0.01,sigmoid
17,0.07087282836437225,0.0871124118566513,20,[64, 64],0.001,0.2,0.01,0,sigmoid
20,0.07084734737873077,0.0874577984213829,50,[64, 64],1e-05,0.3,0.001,0.0001,relu
19,0.07089206576347351,0.08755090832710266,30,[64, 64],0.001,0.3,0.0001,0.0001,tanh
17,0.07084021717309952,0.08780661970376968,50,[64, 64],0.0005,0.3,0.01,0.0001,relu
32,0.07083316892385483,0.08774664252996445,20,[64, 64],0.001,0.2,0.0001,0.001,tanh
24,0.07083345204591751,0.08783803880214691,30,[64, 64],0.001,0.3,0.0001,0.001,sigmoid
32,0.07083647698163986,0.08804706484079361,20,[64, 64],1e-05,0.3,0.0001,0,tanh
25,0.07079987227916718,0.08788979053497314,20,[64, 64],0.0001,0.2,0.001,0.01,relu
17,0.0708407536149025,0.08793999254703522,100,[64, 64],0.0005,0.1,0.001,0.01,tanh
30,0.07079187035560608,0.08807283639907837,100,[64, 64],1e-05,0.3,0.0001,0.001,relu
29,0.07081379741430283,0.08836217224597931,30,[64, 64],0.001,0.1,0,0,relu
55,0.07083886861801147,0.08805380761623383,20,[64, 64],0.0005,0.3,0.0001,0.001,sigmoid
16,0.0708000659942627,0.088129423558712,100,[64, 64],0.001,0.3,0,0.0001,sigmoid
25,0.07081905007362366,0.08813288062810898,50,[64, 64],1e-05,0.1,0,0.001,tanh
21,0.07079477608203888,0.08802413195371628,30,[64, 64],1e-05,0.2,0.01,0.001,relu
25,0.07081414759159088,0.08818265795707703,100,[64, 64],1e-05,0.2,0.001,0.0001,relu
40,0.07079761475324631,0.0880279615521431,50,[64, 64],0.0001,0.1,0.0001,0.001,tanh
