round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
52,0.04744471609592438,0.092104971408844,30,[64, 64],0.0005,0.1,0,0,relu
165,0.05461876094341278,0.0891096368432045,30,[64, 64],0.0001,0.3,0.001,0.0001,tanh
98,0.05111028254032135,0.09007986634969711,100,[64, 64],0.0001,0.1,0.01,0.0001,relu
300,0.09302383661270142,0.10927318781614304,50,[64, 64],1e-05,0.3,0,0,relu
104,0.04899321496486664,0.09246441721916199,100,[64, 64],0.0001,0.3,0.01,0.01,sigmoid
58,0.051593147218227386,0.09163302928209305,30,[64, 64],0.0005,0.3,0.001,0,tanh
37,0.046585604548454285,0.09073768556118011,100,[64, 64],0.0005,0.1,0,0.01,sigmoid
