round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
300,0.11822765320539474,0.12352070212364197,30,[64, 64],1e-05,0.2,0.0001,0.0001,sigmoid
141,0.06268049031496048,0.0911034345626831,30,[64, 64],0.0001,0.3,0,0,tanh
300,0.08854993432760239,0.09941155463457108,50,[64, 64],1e-05,0.1,0,0.0001,relu
24,0.04702096804976463,0.09363318979740143,100,[64, 64],0.001,0.1,0.0001,0,relu
51,0.05975475534796715,0.0916440486907959,20,[64, 64],0.0005,0.2,0.001,0.0001,tanh
84,0.06208203732967377,0.09244778752326965,50,[64, 64],0.0001,0.1,0,0.01,tanh
300,0.07316742092370987,0.09211728721857071,100,[64, 64],1e-05,0.3,0.01,0.001,tanh
28,0.04928421974182129,0.09212136268615723,100,[64, 64],0.001,0.2,0.01,0.01,relu
140,0.062342267483472824,0.09092170000076294,30,[64, 64],0.0001,0.1,0.0001,0,sigmoid
32,0.0542355477809906,0.0914340689778328,20,[64, 64],0.001,0.2,0.01,0,tanh
56,0.06127144396305084,0.09139113873243332,20,[64, 64],0.0005,0.2,0.0001,0.01,tanh
30,0.053936418145895004,0.09383442252874374,30,[64, 64],0.001,0.3,0.0001,0,relu
300,0.14905691146850586,0.1511528640985489,20,[64, 64],1e-05,0.2,0.0001,0,relu
50,0.05904237553477287,0.09211025387048721,50,[64, 64],0.0005,0.1,0.0001,0,sigmoid
31,0.05403923615813255,0.09360352903604507,20,[64, 64],0.001,0.1,0.01,0.01,relu
121,0.06225376948714256,0.09033062309026718,30,[64, 64],0.0001,0.3,0.0001,0.01,relu
300,0.11412853747606277,0.11991941928863525,20,[64, 64],1e-05,0.3,0.01,0,tanh
300,0.15552444756031036,0.1576438844203949,100,[64, 64],1e-05,0.1,0.01,0.001,tanh
129,0.06349290907382965,0.09175395220518112,50,[64, 64],0.0001,0.2,0.01,0,relu
300,0.11883383244276047,0.12374939024448395,30,[64, 64],1e-05,0.1,0,0,tanh
300,0.11812598258256912,0.12435925006866455,20,[64, 64],1e-05,0.3,0,0.0001,sigmoid
300,0.08613408356904984,0.09772813320159912,100,[64, 64],1e-05,0.3,0.01,0.0001,sigmoid
151,0.06374342739582062,0.08958882093429565,50,[64, 64],0.0001,0.2,0.01,0.01,relu
