round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
300,0.12785066664218903,0.13796807825565338,20,[64, 64],1e-05,0.2,0.0001,0,sigmoid
67,0.05169098451733589,0.09167029708623886,20,[64, 64],0.0005,0.3,0.0001,0.0001,relu
162,0.05625592917203903,0.08757596462965012,100,[64, 64],0.0001,0.1,0.001,0.001,relu
300,0.1204666718840599,0.12954434752464294,20,[64, 64],1e-05,0.3,0.001,0.01,sigmoid
44,0.05266505479812622,0.09126430749893188,20,[64, 64],0.001,0.2,0.0001,0,relu
35,0.04277023300528526,0.08985016494989395,100,[64, 64],0.0005,0.3,0,0.001,tanh
58,0.050919800996780396,0.09110628813505173,20,[64, 64],0.0005,0.3,0.01,0.01,tanh
74,0.0583232045173645,0.08727862685918808,20,[64, 64],0.0005,0.3,0.01,0,sigmoid
218,0.05580533668398857,0.08889739960432053,20,[64, 64],0.0001,0.1,0,0,relu
187,0.056149765849113464,0.08795672655105591,30,[64, 64],0.0001,0.1,0.001,0.0001,relu
165,0.0568920336663723,0.0879163071513176,50,[64, 64],0.0001,0.3,0,0.001,sigmoid
38,0.05287953093647957,0.08893352001905441,20,[64, 64],0.001,0.1,0,0.001,sigmoid
300,0.11026432365179062,0.1202751100063324,30,[64, 64],1e-05,0.3,0.0001,0.001,tanh
69,0.04950357973575592,0.08722459524869919,20,[64, 64],0.0005,0.2,0.0001,0.001,sigmoid
180,0.05607705935835838,0.08893236517906189,50,[64, 64],0.0001,0.3,0.0001,0.001,sigmoid
300,0.15655992925167084,0.16248758137226105,30,[64, 64],1e-05,0.1,0.0001,0.0001,tanh
300,0.14290685951709747,0.15162532031536102,20,[64, 64],1e-05,0.2,0,0.0001,tanh
300,0.12277832627296448,0.13223883509635925,20,[64, 64],1e-05,0.2,0,0.001,tanh
27,0.024085335433483124,0.08974547684192657,100,[64, 64],0.001,0.1,0.0001,0.01,relu
128,0.054383326321840286,0.08836502581834793,100,[64, 64],0.0001,0.1,0.0001,0.01,sigmoid
232,0.05980470031499863,0.0871041864156723,20,[64, 64],0.0001,0.1,0.001,0.0001,sigmoid
269,0.055714771151542664,0.08746689558029175,20,[64, 64],0.0001,0.2,0.0001,0.001,relu
185,0.05469027906656265,0.08953433483839035,30,[64, 64],0.0001,0.1,0.0001,0.001,relu
