round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
27,0.07464686036109924,0.08521085977554321,20,[64, 64],0.001,0.3,0.01,0,relu
16,0.07273416221141815,0.08655351400375366,20,[64, 64],1e-05,0.2,0,0.0001,relu
16,0.07178592681884766,0.08799019455909729,30,[64, 64],0.0001,0.3,0,0.0001,relu
16,0.07130947709083557,0.08920516818761826,50,[64, 64],0.001,0.3,0.01,0.001,tanh
16,0.07098186016082764,0.09003056585788727,50,[64, 64],1e-05,0.1,0.01,0,tanh
16,0.07082147896289825,0.0908198133111,20,[64, 64],0.0005,0.3,0.001,0.01,sigmoid
16,0.07073930650949478,0.09118793159723282,100,[64, 64],0.001,0.2,0,0,relu
17,0.07069338858127594,0.09155558049678802,50,[64, 64],0.0001,0.2,0.001,0.01,tanh
19,0.07065872102975845,0.09187110513448715,20,[64, 64],0.0001,0.3,0.01,0.001,sigmoid
21,0.07063095271587372,0.09221775084733963,100,[64, 64],1e-05,0.1,0.01,0.0001,relu
16,0.0706169456243515,0.09227954596281052,50,[64, 64],0.0005,0.2,0.0001,0,sigmoid
20,0.07063154131174088,0.09251931309700012,30,[64, 64],1e-05,0.1,0.01,0.0001,relu
63,0.07060308009386063,0.09289256483316422,20,[64, 64],1e-05,0.2,0.001,0.01,relu
36,0.07072913646697998,0.09276219457387924,50,[64, 64],0.001,0.1,0,0,sigmoid
22,0.07055900245904922,0.09261682629585266,50,[64, 64],1e-05,0.2,0,0.0001,sigmoid
26,0.0706387385725975,0.09277950972318649,30,[64, 64],0.0001,0.1,0.001,0.01,relu
35,0.07062452286481857,0.0928921177983284,100,[64, 64],0.001,0.3,0,0,tanh
19,0.07077165693044662,0.09294022619724274,100,[64, 64],0.0001,0.2,0.01,0.0001,sigmoid
17,0.07058388739824295,0.09279050678014755,20,[64, 64],0.0005,0.1,0,0.001,tanh
17,0.07058927416801453,0.0928802564740181,30,[64, 64],0.0005,0.2,0.01,0.01,relu
18,0.07079765945672989,0.09286811202764511,20,[64, 64],0.0001,0.3,0.01,0,relu
40,0.07076774537563324,0.09268619865179062,100,[64, 64],1e-05,0.3,0.0001,0.0001,tanh
20,0.07058119773864746,0.09278669208288193,20,[64, 64],1e-05,0.3,0.01,0.0001,relu
