round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
97,0.07373502850532532,0.09666161984205246,30,[64, 64],1e-05,0.1,0,0.0001,tanh
17,0.07364051043987274,0.09714454412460327,20,[64, 64],1e-05,0.1,0.01,0.0001,relu
16,0.0735912173986435,0.0972309485077858,20,[64, 64],0.0001,0.2,0.01,0.0001,tanh
16,0.07354728132486343,0.09730108827352524,20,[64, 64],0.001,0.3,0.01,0,sigmoid
19,0.07356200367212296,0.09743640571832657,50,[64, 64],0.001,0.2,0.001,0.0001,sigmoid
16,0.07359033077955246,0.09754600375890732,50,[64, 64],0.0005,0.1,0.001,0.0001,tanh
22,0.07354999333620071,0.09756210446357727,20,[64, 64],0.0001,0.2,0.0001,0,sigmoid
25,0.07355262339115143,0.09761244803667068,100,[64, 64],0.0001,0.1,0.001,0.001,sigmoid
56,0.07353043556213379,0.09765221178531647,20,[64, 64],0.0005,0.2,0.001,0.01,sigmoid
30,0.07353806495666504,0.09757134318351746,100,[64, 64],0.001,0.1,0,0.01,tanh
36,0.07353202998638153,0.09765492379665375,50,[64, 64],0.001,0.2,0,0.01,sigmoid
26,0.073543481528759,0.09755993634462357,30,[64, 64],0.001,0.2,0.0001,0.001,tanh
21,0.07358043640851974,0.09773080050945282,30,[64, 64],0.001,0.2,0,0,tanh
42,0.07353703677654266,0.09770538657903671,20,[64, 64],0.0005,0.1,0.01,0.001,relu
27,0.07352808117866516,0.09763897210359573,30,[64, 64],0.001,0.3,0.01,0.0001,relu
40,0.07351575791835785,0.09818744659423828,20,[64, 64],0.001,0.1,0,0.01,relu
20,0.07350945472717285,0.0979180559515953,30,[64, 64],0.0005,0.2,0.001,0.01,tanh
29,0.07351917773485184,0.09759354591369629,30,[64, 64],0.0005,0.2,0.001,0,relu
18,0.07350872457027435,0.09788314998149872,100,[64, 64],1e-05,0.1,0.0001,0.0001,sigmoid
25,0.07352116703987122,0.09752917289733887,20,[64, 64],0.001,0.1,0,0.001,relu
19,0.07351764291524887,0.09765655547380447,30,[64, 64],0.0005,0.3,0.01,0.0001,tanh
21,0.07352438569068909,0.09755300730466843,50,[64, 64],0.0001,0.2,0.01,0.0001,sigmoid
28,0.07351507246494293,0.09760333597660065,100,[64, 64],0.0005,0.2,0.01,0.001,tanh
