round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
117,0.06519939750432968,0.08878113329410553,100,[64, 64],0.0001,0.2,0.001,0.01,tanh
55,0.06144781410694122,0.09124641865491867,20,[64, 64],0.0005,0.2,0.0001,0,relu
119,0.06495246291160583,0.08914107084274292,20,[64, 64],0.0001,0.2,0.01,0,relu
32,0.05952775478363037,0.09391143172979355,20,[64, 64],0.001,0.3,0,0,sigmoid
300,0.08418159186840057,0.09438439458608627,50,[64, 64],1e-05,0.2,0.01,0.01,tanh
300,0.09565877914428711,0.1020720824599266,20,[64, 64],1e-05,0.1,0.0001,0.001,sigmoid
300,0.11691173166036606,0.12226662039756775,20,[64, 64],1e-05,0.3,0,0,tanh
300,0.07987009733915329,0.09445711970329285,50,[64, 64],1e-05,0.1,0.01,0.001,tanh
300,0.1470479965209961,0.14928901195526123,50,[64, 64],1e-05,0.2,0,0.0001,relu
300,0.09629157185554504,0.10630247741937637,20,[64, 64],1e-05,0.2,0.01,0,tanh
41,0.06024474278092384,0.09208167344331741,50,[64, 64],0.0005,0.3,0.0001,0.001,sigmoid
114,0.06419770419597626,0.08948563784360886,30,[64, 64],0.0001,0.3,0,0.0001,sigmoid
141,0.0646183118224144,0.09202305227518082,20,[64, 64],0.0001,0.3,0.01,0.001,sigmoid
195,0.0670434832572937,0.08818439394235611,20,[64, 64],0.0001,0.2,0.0001,0.01,sigmoid
300,0.08657214045524597,0.09641870111227036,30,[64, 64],1e-05,0.3,0.0001,0,relu
38,0.06244424730539322,0.0923207625746727,30,[64, 64],0.0005,0.3,0.001,0.01,tanh
26,0.05625374987721443,0.09544405341148376,20,[64, 64],0.001,0.3,0,0,relu
300,0.10341665893793106,0.10847529023885727,30,[64, 64],1e-05,0.2,0.0001,0.01,sigmoid
24,0.053810521960258484,0.09565028548240662,50,[64, 64],0.001,0.3,0.001,0.0001,sigmoid
37,0.05794484168291092,0.09346336126327515,30,[64, 64],0.0005,0.3,0.0001,0.01,tanh
300,0.0878334566950798,0.09928736835718155,50,[64, 64],1e-05,0.2,0.01,0.01,sigmoid
31,0.059821538627147675,0.09183746576309204,30,[64, 64],0.0005,0.1,0.01,0.001,sigmoid
24,0.057314399629831314,0.09473328292369843,20,[64, 64],0.001,0.3,0.01,0.001,relu
