k,mean,sd
1,0.09822544687685512,0.007572839970125015
3,0.19883003752684783,0.011848844628315723
5,0.23856556683245667,0.014170173866295308
10,0.2887645086389872,0.016481955233502266
15,0.30529641668560903,0.013107477527791156

