k,mean,sd
1,0.09088274547492829,0.006374805566765838
3,0.12979196297178744,0.0063275169877459484
5,0.19554576396395398,0.009146527881964198
10,0.2564093873221943,0.014002553329286564
15,0.3007588774770984,0.018575115304875153
