k,mean,sd
1,0.43617839327811003,0.014961864473664427
3,0.4884540749335044,0.018425922892290558
5,0.5248582458699551,0.0205245655607006
10,0.611438874406376,0.019803669457203375
15,0.7237729695330701,0.05053627371276911

