k,mean,sd
1,0.10028239200404206,0.0056467086729166645
3,0.17574017224813412,0.01004200595915708
5,0.21680493361925593,0.009733069650159073
10,0.2956367588499688,0.01156286909493338
15,0.3450955179411244,0.015123152663784783

