k,mean,sd
1,0.3062822273620615,0.01877827767594083
3,0.4111097707359053,0.02214593590111135
5,0.44110093756442154,0.019587161112231737
10,0.46765520445021297,0.02069579019384231
15,0.5148979696610398,0.021860140163071206
