k,mean,sd
1,0.7983444118035984,0.013623816210995983
3,0.8828842139879717,0.007850268481579815
5,0.9366991242061653,0.003456559011013471
10,0.9756119450260353,0.0031506565233469113
15,0.986468766057704,0.003368856950307268

