round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
12,0.6932578682899475,0.6932865381240845,20,[64, 64],0.001,0.1,0.001,0,tanh
18,0.6933006644248962,0.6931993961334229,25,[64, 64],0.01,0.3,0.001,0,relu
11,0.693351686000824,0.6931363940238953,20,[64, 64],1e-05,0.1,0.01,0.0001,tanh
22,0.6931998133659363,0.6932556629180908,20,[64, 64],0.1,0.1,0.0001,0.0001,tanh
18,0.6932205557823181,0.6931248903274536,20,[64, 64],1e-05,0.1,0.001,0.01,tanh
11,0.6932406425476074,0.6931621432304382,15,[64, 64],0.001,0.2,0.01,0.001,sigmoid
11,0.6932178139686584,0.6931502819061279,30,[64, 64],1e-05,0.3,0,0.001,sigmoid
18,0.6932166218757629,0.6931942701339722,10,[64, 64],0.01,0.3,0.001,0,relu
23,0.6931890249252319,0.6931235790252686,10,[64, 64],0.01,0.3,0.0001,0.01,sigmoid
11,0.6932056546211243,0.6932531595230103,25,[64, 64],0.1,0.1,0.001,0.001,sigmoid
21,0.6932495832443237,0.6931110620498657,30,[64, 64],0.001,0.2,0.01,0,sigmoid
14,0.6931560039520264,0.6931722164154053,10,[64, 64],0.0001,0.3,0,0,tanh
11,0.6931679248809814,0.6932094097137451,30,[64, 64],0.01,0.1,0.0001,0.0001,relu
14,0.6933261752128601,0.6932873129844666,25,[64, 64],0.01,0.3,0.01,0,sigmoid
11,0.6931905746459961,0.693231463432312,15,[64, 64],0.01,0.1,0,0.01,tanh
20,0.6932105422019958,0.6933961510658264,20,[64, 64],1e-05,0.3,0.01,0,tanh
13,0.6931824684143066,0.6932094097137451,25,[64, 64],0.001,0.3,0.001,0.001,relu
16,0.6931381225585938,0.693354606628418,30,[64, 64],0.1,0.1,0,0.0001,relu
18,0.6930382251739502,0.6937776207923889,30,[64, 64],0.01,0.2,0.001,0.01,relu
11,0.6928167939186096,0.6942387819290161,20,[64, 64],1e-05,0.2,0,0.01,sigmoid
11,0.6925994753837585,0.6943255662918091,15,[64, 64],0.01,0.3,0,0.0001,relu
13,0.6919943690299988,0.6957322955131531,15,[64, 64],0.0001,0.1,0,0,sigmoid
13,0.6912391185760498,0.6971863508224487,15,[64, 64],0.0001,0.2,0.001,0,relu
12,0.6906140446662903,0.6979587078094482,15,[64, 64],0.01,0.1,0.01,0.0001,tanh
11,0.6897578835487366,0.6996458768844604,10,[64, 64],0.001,0.2,0.001,0.001,relu
13,0.6888842582702637,0.7004798650741577,25,[64, 64],0.0001,0.2,0.0001,0.001,sigmoid
14,0.6879349946975708,0.7011480331420898,25,[64, 64],0.0001,0.3,0.01,0.01,relu
20,0.6865540146827698,0.7030734419822693,25,[64, 64],0.01,0.2,0,0.0001,relu
11,0.6858342289924622,0.7045325040817261,15,[64, 64],0.01,0.3,0.001,0.01,relu
16,0.6846422553062439,0.7061862349510193,10,[64, 64],0.0001,0.1,0,0.0001,relu
20,0.6831600666046143,0.7102363705635071,30,[64, 64],0.1,0.3,0.001,0.01,tanh
12,0.6821013689041138,0.7120761275291443,10,[64, 64],1e-05,0.2,0,0.0001,relu
12,0.6811991930007935,0.7133175730705261,20,[64, 64],0.0001,0.1,0.0001,0.01,sigmoid
13,0.6801220178604126,0.7128022909164429,15,[64, 64],1e-05,0.1,0.001,0,tanh
11,0.6792387962341309,0.7144448757171631,25,[64, 64],0.001,0.2,0.0001,0.001,relu
