round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
163,0.810613751411438,1.0888363122940063,100,[64, 64],0.0005,0.1,0.0001,0.01,sigmoid
300,0.6969375610351562,0.7215555906295776,30,[64, 64],1e-05,0.2,0,0.0001,sigmoid
300,7.044209003448486,7.101362228393555,20,[64, 64],1e-05,0.3,0.01,0,tanh
300,2.6549556255340576,2.6817681789398193,50,[64, 64],1e-05,0.1,0.001,0.01,sigmoid
70,0.6712872385978699,0.7387045621871948,100,[64, 64],0.0001,0.1,0.0001,0.0001,sigmoid
90,0.7959351539611816,1.1535793542861938,20,[64, 64],0.001,0.2,0.001,0.01,sigmoid
31,0.6239797472953796,0.8351729512214661,30,[64, 64],0.001,0.3,0.01,0.001,relu
300,1.286374568939209,1.503378987312317,100,[64, 64],0.0001,0.3,0.01,0.01,sigmoid
41,0.8507964611053467,1.3165799379348755,100,[64, 64],0.001,0.2,0.0001,0.01,sigmoid
29,0.6610828042030334,0.8187304139137268,50,[64, 64],0.001,0.3,0.01,0.001,relu
300,1.586996078491211,1.6288632154464722,50,[64, 64],1e-05,0.1,0.001,0.001,tanh
300,1.014763593673706,1.1903517246246338,20,[64, 64],0.0001,0.3,0,0.01,sigmoid
67,0.6675787568092346,0.816118597984314,100,[64, 64],0.0001,0.3,0.0001,0.0001,sigmoid
36,0.6476410031318665,0.794243574142456,20,[64, 64],0.0005,0.3,0.0001,0,relu
42,0.6456572413444519,0.789628803730011,30,[64, 64],0.0005,0.1,0.01,0.001,tanh
142,0.6424135565757751,0.7612295746803284,20,[64, 64],0.0001,0.3,0.01,0.0001,relu
300,1.816057801246643,1.890254020690918,100,[64, 64],1e-05,0.2,0.001,0.01,relu
300,0.7933422923088074,0.8375012278556824,30,[64, 64],1e-05,0.2,0,0.001,sigmoid
29,0.6589342951774597,0.7783547043800354,20,[64, 64],0.0005,0.1,0.0001,0.0001,tanh
29,0.5748974680900574,0.8336507081985474,100,[64, 64],0.001,0.2,0.001,0,sigmoid
75,0.6758203506469727,0.7251468300819397,50,[64, 64],0.0001,0.3,0,0.0001,sigmoid
166,0.6321526169776917,0.785524845123291,50,[64, 64],0.0001,0.3,0,0.01,tanh
19,0.7765479683876038,0.9639328718185425,30,[64, 64],0.001,0.3,0.0001,0.0001,relu
