round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
43,0.06800653040409088,0.07176440209150314,50,[64, 64],0.001,0.2,0.01,0,sigmoid
17,0.0676388218998909,0.07199638336896896,100,[64, 64],1e-05,0.1,0.0001,0.001,tanh
16,0.06749960780143738,0.07230421900749207,100,[64, 64],1e-05,0.2,0.0001,0.01,relu
16,0.06739767640829086,0.07244949042797089,100,[64, 64],1e-05,0.1,0,0.0001,sigmoid
16,0.06735493242740631,0.0726030245423317,20,[64, 64],0.0005,0.2,0.0001,0.0001,sigmoid
17,0.0673440471291542,0.07274077087640762,50,[64, 64],0.0005,0.3,0.01,0.001,sigmoid
21,0.06733211874961853,0.0727955549955368,100,[64, 64],0.0001,0.1,0.01,0.01,sigmoid
19,0.06740213930606842,0.07284517586231232,30,[64, 64],0.0005,0.1,0.001,0,tanh
17,0.0673387199640274,0.07298557460308075,20,[64, 64],0.0005,0.1,0.001,0.01,relu
32,0.06732509285211563,0.07295973598957062,20,[64, 64],0.0005,0.2,0,0,tanh
17,0.06731810420751572,0.07295533269643784,20,[64, 64],0.0001,0.3,0.001,0.001,sigmoid
17,0.06733819842338562,0.07296804338693619,100,[64, 64],0.001,0.2,0.01,0,tanh
16,0.06732058525085449,0.0729721337556839,30,[64, 64],0.001,0.1,0.0001,0.01,sigmoid
17,0.06729968637228012,0.07301145046949387,20,[64, 64],0.0001,0.2,0.01,0.0001,sigmoid
34,0.06729865819215775,0.07298911362886429,100,[64, 64],0.0005,0.1,0.0001,0.001,relu
19,0.06731681525707245,0.07295777648687363,30,[64, 64],0.0005,0.3,0.0001,0.0001,relu
18,0.06732597947120667,0.07297462224960327,50,[64, 64],0.0001,0.3,0.01,0.01,relu
20,0.06731025874614716,0.07298266142606735,20,[64, 64],0.0005,0.3,0.0001,0,tanh
34,0.06732820719480515,0.07302387058734894,50,[64, 64],0.001,0.2,0,0,tanh
30,0.06731221824884415,0.07302956283092499,50,[64, 64],0.001,0.2,0,0.001,relu
27,0.06731107085943222,0.07299375534057617,100,[64, 64],1e-05,0.3,0.001,0,relu
47,0.06730867922306061,0.07295560836791992,30,[64, 64],1e-05,0.2,0,0,sigmoid
17,0.06731266528367996,0.07299847900867462,30,[64, 64],0.0001,0.2,0.001,0,relu
