round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
30,0.24994097650051117,0.2500540614128113,30,[64, 64],0.001,0.3,0.0001,0.001,tanh
16,0.2496953010559082,0.25019052624702454,100,[64, 64],0.001,0.3,0.001,0,tanh
16,0.24863260984420776,0.2513396143913269,30,[64, 64],0.0001,0.2,0.0001,0.001,relu
17,0.24557702243328094,0.254167377948761,30,[64, 64],1e-05,0.3,0.0001,0.01,tanh
17,0.2414977103471756,0.25852468609809875,50,[64, 64],0.0001,0.2,0.01,0.0001,relu
16,0.23808158934116364,0.2621091306209564,50,[64, 64],0.0005,0.3,0.0001,0.001,relu
19,0.23448646068572998,0.26576030254364014,50,[64, 64],0.001,0.2,0.01,0.01,tanh
18,0.23161646723747253,0.2695026099681854,20,[64, 64],0.0005,0.2,0,0.0001,tanh
18,0.22940723598003387,0.27190303802490234,50,[64, 64],0.001,0.1,0.0001,0,relu
16,0.22780050337314606,0.27359598875045776,20,[64, 64],0.0001,0.2,0.01,0.0001,relu
16,0.22648891806602478,0.2756040692329407,30,[64, 64],0.0005,0.2,0.001,0.0001,sigmoid
20,0.22524553537368774,0.27682986855506897,20,[64, 64],0.0005,0.1,0.01,0,relu
23,0.22423496842384338,0.2785848379135132,20,[64, 64],0.0001,0.3,0.01,0,sigmoid
21,0.22354468703269958,0.27925458550453186,20,[64, 64],0.0001,0.1,0.001,0,tanh
21,0.22307586669921875,0.2800702452659607,20,[64, 64],0.0001,0.1,0.01,0.0001,tanh
16,0.2228628247976303,0.28011444211006165,100,[64, 64],0.0001,0.2,0.0001,0,relu
27,0.2224641740322113,0.28098806738853455,20,[64, 64],0.001,0.2,0,0.01,tanh
25,0.22228804230690002,0.28139135241508484,100,[64, 64],0.0005,0.3,0.001,0,sigmoid
25,0.22212575376033783,0.28161993622779846,50,[64, 64],0.0005,0.3,0.0001,0.001,sigmoid
16,0.22209328413009644,0.2809813916683197,30,[64, 64],0.0001,0.1,0,0.0001,sigmoid
18,0.22200505435466766,0.281812846660614,30,[64, 64],0.0005,0.2,0.01,0.001,tanh
28,0.22194425761699677,0.28125321865081787,100,[64, 64],0.0005,0.2,0.01,0.01,tanh
18,0.221941277384758,0.28103286027908325,30,[64, 64],0.001,0.1,0.0001,0.0001,tanh
