round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
17,0.6931676864624023,0.6929062604904175,20,[64, 64],0.001,0.2,0.0001,0,sigmoid
11,0.6931574940681458,0.6927643418312073,12,[64, 64],1e-05,0.01,0,0,tanh
16,0.6932955384254456,0.6930400133132935,8,[64, 64],0.0001,0.001,0,0.01,tanh
17,0.6932367086410522,0.6926673650741577,12,[64, 64],0.01,0.001,0.0001,0.0001,sigmoid
21,0.6932021379470825,0.6925466060638428,8,[64, 64],0.0001,0.001,0.0001,0.001,sigmoid
33,0.6930662393569946,0.6922228932380676,4,[64, 64],0.1,0.2,0.01,0,tanh
