round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
36,0.06900437921285629,0.07147160917520523,100,[64, 64],1e-05,0.3,0,0.001,sigmoid
16,0.06857850402593613,0.07180273532867432,50,[64, 64],0.0001,0.2,0.0001,0.0001,sigmoid
16,0.06839510053396225,0.07203983515501022,30,[64, 64],1e-05,0.1,0.0001,0.001,tanh
17,0.06831565499305725,0.07233022898435593,50,[64, 64],1e-05,0.3,0,0.001,tanh
16,0.06827357411384583,0.07244221866130829,30,[64, 64],0.001,0.1,0.01,0.01,relu
16,0.06827768683433533,0.07254637777805328,30,[64, 64],0.0001,0.2,0.001,0.0001,sigmoid
16,0.06825554370880127,0.07264751195907593,30,[64, 64],0.0001,0.1,0,0.0001,relu
16,0.06820318102836609,0.07279717177152634,100,[64, 64],0.001,0.2,0,0.001,relu
17,0.06822139024734497,0.07273026555776596,50,[64, 64],0.001,0.3,0,0,relu
17,0.06820935010910034,0.07282882928848267,30,[64, 64],0.0005,0.2,0.0001,0.01,tanh
26,0.06822921335697174,0.07282283157110214,50,[64, 64],0.0001,0.3,0.0001,0.0001,sigmoid
31,0.06821645051240921,0.07285911589860916,100,[64, 64],0.001,0.2,0.01,0.0001,tanh
16,0.06823071837425232,0.0728331059217453,20,[64, 64],1e-05,0.2,0.001,0,tanh
21,0.06820493936538696,0.07289885729551315,20,[64, 64],0.001,0.2,0.001,0.001,relu
16,0.06823413819074631,0.07282828539609909,100,[64, 64],0.0001,0.3,0.001,0.0001,sigmoid
29,0.0682302787899971,0.07293178141117096,30,[64, 64],0.0001,0.1,0.0001,0.01,relu
27,0.06823907792568207,0.07287634164094925,30,[64, 64],0.0001,0.1,0.001,0.0001,sigmoid
22,0.0682283267378807,0.07285080850124359,50,[64, 64],0.0005,0.3,0,0,tanh
41,0.06823690980672836,0.0728471651673317,50,[64, 64],0.0005,0.3,0.0001,0.0001,relu
22,0.0682055801153183,0.07285499572753906,50,[64, 64],0.001,0.3,0.001,0,sigmoid
39,0.06826158612966537,0.07288280129432678,50,[64, 64],1e-05,0.3,0.01,0.001,relu
34,0.06821166723966599,0.07283377647399902,100,[64, 64],0.0005,0.3,0.0001,0.001,relu
20,0.06819988787174225,0.07285816967487335,100,[64, 64],0.001,0.3,0,0.0001,sigmoid
