round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
28,0.2498689889907837,0.2501630485057831,50,[64, 64],1e-05,0.1,0,0,sigmoid
17,0.24959678947925568,0.25037872791290283,30,[64, 64],1e-05,0.1,0.001,0.001,tanh
16,0.24803806841373444,0.25165411829948425,20,[64, 64],0.001,0.2,0,0.01,tanh
16,0.2425251007080078,0.25655198097229004,50,[64, 64],1e-05,0.2,0.001,0.0001,tanh
16,0.2352774292230606,0.2644263803958893,50,[64, 64],0.0001,0.2,0,0.01,tanh
16,0.2309613674879074,0.2701253294944763,50,[64, 64],0.001,0.2,0.01,0.0001,relu
16,0.2288428246974945,0.2728950083255768,30,[64, 64],1e-05,0.1,0.0001,0,relu
17,0.2276456654071808,0.27479246258735657,100,[64, 64],0.001,0.2,0.001,0.01,relu
16,0.22685664892196655,0.27633047103881836,30,[64, 64],0.0005,0.3,0.01,0,sigmoid
17,0.2262810617685318,0.2773377299308777,20,[64, 64],0.001,0.2,0.0001,0.01,tanh
17,0.22595751285552979,0.27898281812667847,30,[64, 64],1e-05,0.3,0.001,0,relu
17,0.22583933174610138,0.2786575257778168,20,[64, 64],1e-05,0.1,0.001,0.0001,tanh
26,0.22561419010162354,0.2793847322463989,100,[64, 64],0.0005,0.2,0.01,0.0001,sigmoid
17,0.22556203603744507,0.2799181640148163,50,[64, 64],1e-05,0.1,0.0001,0,relu
25,0.2255808264017105,0.27999430894851685,50,[64, 64],0.001,0.2,0.01,0.001,sigmoid
20,0.22548939287662506,0.2803434431552887,30,[64, 64],0.0005,0.3,0.0001,0.0001,relu
25,0.22538872063159943,0.2806985378265381,100,[64, 64],0.001,0.3,0.01,0.0001,tanh
25,0.2253359854221344,0.2811497449874878,50,[64, 64],0.001,0.3,0,0.01,relu
16,0.22541303932666779,0.2807669937610626,100,[64, 64],1e-05,0.2,0.001,0.001,sigmoid
26,0.22542189061641693,0.2807839810848236,30,[64, 64],1e-05,0.2,0,0,tanh
33,0.22538411617279053,0.2813233733177185,50,[64, 64],0.0005,0.1,0,0,relu
16,0.225366473197937,0.2806887626647949,100,[64, 64],0.0005,0.3,0.001,0.01,tanh
36,0.22545753419399261,0.28181523084640503,20,[64, 64],0.0001,0.3,0,0,relu
