round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
59,0.5575977563858032,0.8408181667327881,50,[64, 64],0.0005,0.1,0.001,0.001,tanh
45,0.6385316252708435,0.7624263763427734,20,[64, 64],0.0005,0.2,0.01,0,tanh
87,0.6597431898117065,0.7479291558265686,20,[64, 64],0.0001,0.2,0,0.001,relu
18,0.6227318048477173,0.7442567348480225,50,[64, 64],0.001,0.1,0,0,sigmoid
56,0.6353391408920288,0.7705055475234985,50,[64, 64],0.0005,0.2,0.0001,0.01,relu
44,0.6044453382492065,0.7848078012466431,50,[64, 64],0.0005,0.2,0.001,0.0001,tanh
50,0.576147735118866,0.8027673363685608,100,[64, 64],0.0005,0.1,0,0.01,tanh
44,0.58404141664505,0.8286514282226562,50,[64, 64],0.0005,0.1,0.01,0.0001,tanh
112,0.6542515158653259,0.78236323595047,100,[64, 64],0.0001,0.1,0.0001,0.001,tanh
300,1.0812901258468628,1.2962757349014282,20,[64, 64],0.0001,0.3,0.0001,0.01,sigmoid
176,0.7286572456359863,1.032301902770996,20,[64, 64],0.001,0.3,0.0001,0.01,sigmoid
156,0.5793783068656921,0.8084309697151184,100,[64, 64],0.0001,0.2,0.001,0,sigmoid
29,0.5401164889335632,0.843995988368988,100,[64, 64],0.001,0.1,0.0001,0.001,tanh
189,0.6307317614555359,0.7618777751922607,20,[64, 64],0.0001,0.3,0.01,0.01,relu
46,0.5406175851821899,0.8722464442253113,100,[64, 64],0.0005,0.3,0.01,0.0001,tanh
176,0.6347928643226624,0.7791716456413269,30,[64, 64],0.0001,0.1,0,0.01,tanh
48,0.9637326598167419,1.4123282432556152,50,[64, 64],0.001,0.2,0.001,0.01,sigmoid
22,0.623330295085907,0.7913141846656799,30,[64, 64],0.001,0.2,0.0001,0,relu
42,0.9413875937461853,1.3647754192352295,100,[64, 64],0.001,0.2,0.0001,0.01,sigmoid
51,1.0015647411346436,1.6460448503494263,100,[64, 64],0.001,0.3,0.01,0.01,sigmoid
27,0.6273366212844849,0.7911610007286072,30,[64, 64],0.001,0.2,0.0001,0.001,tanh
44,0.6407025456428528,0.8028182983398438,30,[64, 64],0.0005,0.2,0.01,0.0001,relu
300,1.5273218154907227,1.5428993701934814,100,[64, 64],1e-05,0.3,0.001,0,tanh
