round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
35,0.07262813299894333,0.0755554810166359,30,[64, 64],0.001,0.2,0.001,0.0001,relu
16,0.07202494144439697,0.07591008394956589,50,[64, 64],0.001,0.2,0.01,0.0001,sigmoid
17,0.07174128293991089,0.07626485079526901,20,[64, 64],0.0005,0.3,0,0.0001,relu
18,0.07159081101417542,0.0766662210226059,50,[64, 64],1e-05,0.3,0.001,0,sigmoid
16,0.07150302827358246,0.07694116234779358,50,[64, 64],0.001,0.1,0.001,0.001,sigmoid
16,0.07147863507270813,0.07699374854564667,50,[64, 64],1e-05,0.2,0.001,0.01,tanh
21,0.07148340344429016,0.07713409513235092,100,[64, 64],0.0001,0.3,0.01,0,sigmoid
21,0.07143903523683548,0.07729341834783554,30,[64, 64],0.001,0.3,0.01,0.001,relu
19,0.07146335393190384,0.07732605934143066,50,[64, 64],1e-05,0.1,0.001,0.01,tanh
18,0.07146899402141571,0.07741504907608032,30,[64, 64],0.0001,0.2,0.01,0.001,relu
16,0.07143650203943253,0.07741723954677582,20,[64, 64],0.0001,0.1,0.0001,0.0001,tanh
20,0.07144947350025177,0.07730839401483536,30,[64, 64],0.0005,0.3,0.001,0.0001,tanh
34,0.07142070680856705,0.07748483866453171,50,[64, 64],0.0005,0.1,0.001,0,tanh
17,0.0714283436536789,0.07746407389640808,30,[64, 64],0.001,0.1,0.001,0,tanh
17,0.07142646610736847,0.07750070095062256,30,[64, 64],0.001,0.2,0.0001,0.001,tanh
44,0.07143079489469528,0.07741612941026688,100,[64, 64],0.0005,0.1,0.0001,0,relu
27,0.07143979519605637,0.07736076414585114,30,[64, 64],0.0005,0.3,0.0001,0,tanh
21,0.07144245505332947,0.07744819670915604,30,[64, 64],0.001,0.3,0.0001,0.01,relu
17,0.0714290514588356,0.07753635942935944,50,[64, 64],0.0001,0.3,0,0.001,relu
42,0.07143819332122803,0.07749925553798676,100,[64, 64],1e-05,0.2,0.001,0.01,tanh
27,0.07144942879676819,0.07748459279537201,30,[64, 64],1e-05,0.1,0.01,0.0001,relu
42,0.07142264395952225,0.07742033898830414,100,[64, 64],1e-05,0.1,0.01,0.0001,sigmoid
29,0.07141857594251633,0.07759176194667816,100,[64, 64],0.0005,0.1,0,0.001,relu
