round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
23,0.250004380941391,0.2500137388706207,20,[64, 64],0.0001,0.1,0.01,0,relu
18,0.2499522715806961,0.2501407265663147,50,[64, 64],0.001,0.1,0.001,0.0001,relu
18,0.24947479367256165,0.25071462988853455,20,[64, 64],0.0005,0.2,0,0.0001,tanh
16,0.2480691522359848,0.2522830367088318,20,[64, 64],0.001,0.1,0.01,0.0001,tanh
17,0.2457302212715149,0.2554876506328583,100,[64, 64],0.001,0.1,0.0001,0.0001,relu
17,0.2429390698671341,0.2571263909339905,30,[64, 64],0.0005,0.3,0.001,0.0001,relu
18,0.24020938575267792,0.25989776849746704,30,[64, 64],1e-05,0.3,0.01,0.001,relu
16,0.23801054060459137,0.26233768463134766,50,[64, 64],0.001,0.3,0.001,0.01,relu
17,0.23596647381782532,0.26448801159858704,100,[64, 64],1e-05,0.1,0.01,0.01,relu
16,0.23424796760082245,0.26616939902305603,50,[64, 64],1e-05,0.2,0.0001,0.0001,tanh
19,0.2324891984462738,0.268918514251709,50,[64, 64],0.0005,0.3,0.001,0.01,relu
17,0.23121647536754608,0.26967260241508484,30,[64, 64],0.001,0.1,0.001,0.01,sigmoid
17,0.2301046997308731,0.27094846963882446,100,[64, 64],0.0005,0.3,0.001,0.0001,sigmoid
20,0.22905652225017548,0.27264928817749023,30,[64, 64],0.001,0.3,0,0.001,tanh
16,0.22838369011878967,0.2738324701786041,30,[64, 64],0.0001,0.3,0.01,0.0001,sigmoid
27,0.2274407148361206,0.2736114263534546,50,[64, 64],0.0001,0.2,0.001,0.0001,tanh
28,0.22680562734603882,0.27539071440696716,20,[64, 64],0.001,0.3,0,0,tanh
16,0.22656820714473724,0.27654168009757996,50,[64, 64],0.0001,0.2,0.0001,0.001,sigmoid
23,0.22625425457954407,0.27630332112312317,20,[64, 64],0.0005,0.1,0.001,0.01,tanh
39,0.22588035464286804,0.2767588794231415,50,[64, 64],0.0001,0.3,0,0.01,sigmoid
44,0.2257625162601471,0.2768827974796295,100,[64, 64],0.0005,0.1,0.01,0.0001,relu
19,0.22568173706531525,0.2765522003173828,30,[64, 64],0.001,0.3,0,0,tanh
18,0.22555191814899445,0.2770785987377167,100,[64, 64],0.0001,0.1,0.01,0.01,sigmoid
