round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
30,0.08086477220058441,0.09035635739564896,30,[64, 64],1e-05,0.1,0.01,0.0001,tanh
16,0.07871916890144348,0.09176459908485413,100,[64, 64],0.0001,0.2,0.001,0.0001,relu
16,0.0774904265999794,0.09313134849071503,100,[64, 64],0.001,0.3,0.001,0.01,tanh
16,0.07670189440250397,0.09459308534860611,100,[64, 64],0.001,0.2,0.01,0,tanh
17,0.07631775736808777,0.09572800993919373,50,[64, 64],0.0005,0.3,0.001,0.0001,sigmoid
18,0.07601529359817505,0.09668754041194916,100,[64, 64],1e-05,0.2,0.001,0,sigmoid
19,0.07588270306587219,0.09764047712087631,20,[64, 64],0.0001,0.2,0.01,0.01,tanh
16,0.0757637694478035,0.09807243943214417,30,[64, 64],1e-05,0.1,0.01,0.01,tanh
18,0.0756910890340805,0.0984802395105362,20,[64, 64],0.0005,0.3,0.0001,0,tanh
19,0.0756409540772438,0.09875880926847458,30,[64, 64],1e-05,0.1,0,0.01,tanh
21,0.07562115788459778,0.09922049194574356,100,[64, 64],0.001,0.1,0,0.0001,sigmoid
22,0.0756574273109436,0.09948397427797318,100,[64, 64],0.0005,0.3,0.01,0.0001,relu
17,0.07561330497264862,0.09980122745037079,30,[64, 64],0.001,0.2,0.01,0.01,relu
17,0.0755930095911026,0.10002338141202927,100,[64, 64],0.0005,0.3,0.001,0,sigmoid
19,0.07557891309261322,0.09979547560214996,100,[64, 64],0.0005,0.1,0.0001,0.0001,sigmoid
19,0.07561732083559036,0.10003960877656937,30,[64, 64],0.001,0.3,0.0001,0.01,tanh
20,0.07561405003070831,0.10043034702539444,50,[64, 64],1e-05,0.2,0,0,relu
24,0.0755639374256134,0.10039432346820831,20,[64, 64],0.001,0.1,0,0.01,sigmoid
18,0.07556818425655365,0.10059711337089539,50,[64, 64],1e-05,0.1,0.0001,0.0001,relu
25,0.075568787753582,0.10074496269226074,100,[64, 64],0.001,0.1,0.0001,0.01,relu
29,0.0756140798330307,0.10126832872629166,50,[64, 64],0.001,0.2,0,0.0001,relu
28,0.07558060437440872,0.10106934607028961,50,[64, 64],0.0001,0.3,0.01,0.01,relu
18,0.07554851472377777,0.10119324177503586,20,[64, 64],0.0001,0.3,0.0001,0.001,relu
