round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
144,0.07112542539834976,0.07527749240398407,50,[64, 64],0.001,0.3,0.0001,0,tanh
22,0.07108260691165924,0.07540597021579742,100,[64, 64],0.0005,0.3,0.01,0.001,relu
21,0.07106782495975494,0.07549868524074554,20,[64, 64],0.001,0.2,0,0.0001,sigmoid
19,0.07104272395372391,0.07558772712945938,30,[64, 64],0.001,0.1,0,0.001,tanh
18,0.07106316089630127,0.07564043998718262,20,[64, 64],0.001,0.3,0.001,0.001,tanh
35,0.07105164229869843,0.0756731629371643,100,[64, 64],0.0001,0.2,0.001,0.01,sigmoid
27,0.07104366272687912,0.07567738741636276,100,[64, 64],0.0001,0.1,0.001,0.0001,relu
23,0.07104682177305222,0.07567508518695831,20,[64, 64],0.0001,0.3,0,0.001,sigmoid
21,0.0710529163479805,0.0756101980805397,100,[64, 64],1e-05,0.1,0.001,0.01,tanh
39,0.07103080302476883,0.07568719983100891,50,[64, 64],0.0001,0.1,0.01,0,relu
16,0.07102703303098679,0.07563641667366028,30,[64, 64],0.0005,0.2,0,0,tanh
20,0.07106141000986099,0.07576825469732285,20,[64, 64],1e-05,0.1,0.01,0.0001,relu
31,0.07104026526212692,0.07573003321886063,50,[64, 64],0.0001,0.3,0.001,0.0001,sigmoid
21,0.07103192806243896,0.0756554827094078,20,[64, 64],0.0001,0.3,0.0001,0,relu
31,0.07103270292282104,0.07563825696706772,20,[64, 64],0.0005,0.3,0,0.0001,relu
34,0.07103437185287476,0.0757133737206459,20,[64, 64],0.0001,0.1,0,0.001,tanh
23,0.07104718685150146,0.0757690817117691,100,[64, 64],0.001,0.1,0.001,0.01,sigmoid
22,0.07104631513357162,0.07564637809991837,20,[64, 64],0.0005,0.3,0.01,0.0001,sigmoid
20,0.07104417681694031,0.07565389573574066,100,[64, 64],0.001,0.2,0,0.0001,tanh
42,0.07105830311775208,0.07570108026266098,50,[64, 64],1e-05,0.2,0.0001,0,sigmoid
25,0.07101387530565262,0.07587207853794098,100,[64, 64],0.0005,0.3,0.0001,0.001,relu
18,0.07107722759246826,0.07561864703893661,100,[64, 64],0.001,0.3,0,0.001,tanh
22,0.07103059440851212,0.07563897967338562,50,[64, 64],0.0005,0.2,0.0001,0.0001,tanh
