round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
16,0.07472049444913864,0.08654601126909256,50,[64, 64],0.0005,0.3,0.001,0.001,tanh
16,0.0735858753323555,0.08932211995124817,50,[64, 64],0.001,0.1,0.0001,0.01,relu
16,0.07296107709407806,0.09170176833868027,20,[64, 64],0.001,0.2,0,0.001,relu
16,0.07261111587285995,0.09371807426214218,50,[64, 64],0.0001,0.1,0.01,0.001,relu
17,0.0724414587020874,0.09508748352527618,20,[64, 64],0.0001,0.3,0.001,0,relu
16,0.07234188914299011,0.09601114690303802,50,[64, 64],1e-05,0.3,0.001,0,relu
16,0.07231000065803528,0.09679185599088669,30,[64, 64],0.001,0.1,0,0.01,relu
18,0.072276271879673,0.09713824093341827,30,[64, 64],0.0001,0.3,0.01,0,tanh
16,0.07225322723388672,0.09757472574710846,20,[64, 64],0.0001,0.3,0,0.0001,sigmoid
22,0.07225732505321503,0.09782908111810684,30,[64, 64],0.001,0.2,0.001,0.0001,sigmoid
21,0.07223466038703918,0.09811931848526001,100,[64, 64],0.0001,0.1,0,0.001,sigmoid
16,0.07225314527750015,0.09817827492952347,50,[64, 64],0.001,0.2,0.001,0.0001,tanh
20,0.07224826514720917,0.09837456047534943,30,[64, 64],1e-05,0.1,0.01,0.001,tanh
22,0.07222717255353928,0.09835083782672882,30,[64, 64],0.001,0.3,0.001,0.001,tanh
20,0.07225239276885986,0.0983673706650734,30,[64, 64],0.0001,0.1,0.0001,0,tanh
27,0.07226452231407166,0.09866619855165482,100,[64, 64],0.0001,0.3,0.001,0,tanh
39,0.07223816215991974,0.09865839034318924,100,[64, 64],0.0001,0.2,0.0001,0.0001,relu
27,0.07222434878349304,0.0987410694360733,50,[64, 64],0.001,0.3,0.001,0,sigmoid
17,0.07224640250205994,0.09840032458305359,100,[64, 64],0.0005,0.3,0.01,0.01,tanh
27,0.07222897559404373,0.09877757728099823,100,[64, 64],0.0005,0.2,0.01,0.0001,tanh
27,0.0722600668668747,0.09823289513587952,50,[64, 64],0.0001,0.1,0.0001,0.0001,relu
21,0.07224734872579575,0.0986480638384819,100,[64, 64],0.0005,0.1,0.0001,0.01,relu
19,0.07221759855747223,0.09849558025598526,30,[64, 64],0.0001,0.2,0.0001,0,tanh
