round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
29,0.24935786426067352,0.2505113184452057,30,[64, 64],0.0005,0.3,0.001,0.01,relu
17,0.24787203967571259,0.2520269751548767,30,[64, 64],0.001,0.1,0,0.001,sigmoid
17,0.24409610033035278,0.2548494338989258,50,[64, 64],1e-05,0.2,0,0.0001,relu
17,0.23925776779651642,0.2594820559024811,30,[64, 64],0.0005,0.2,0,0,relu
16,0.23536144196987152,0.2635413408279419,20,[64, 64],0.001,0.3,0.0001,0,sigmoid
16,0.23221313953399658,0.2669897675514221,20,[64, 64],0.0001,0.1,0,0.001,relu
17,0.22980047762393951,0.2694304883480072,100,[64, 64],0.0001,0.2,0.01,0.0001,relu
20,0.22764039039611816,0.2724513113498688,30,[64, 64],0.001,0.3,0.001,0,sigmoid
16,0.22653888165950775,0.27487874031066895,50,[64, 64],1e-05,0.3,0.01,0.001,tanh
18,0.2255415916442871,0.27651599049568176,50,[64, 64],0.0005,0.2,0.01,0.0001,relu
16,0.2249702662229538,0.27780595421791077,50,[64, 64],1e-05,0.2,0.01,0,relu
25,0.22435441613197327,0.2785113751888275,20,[64, 64],1e-05,0.2,0.01,0.01,tanh
20,0.2239440381526947,0.2813619077205658,50,[64, 64],0.0005,0.1,0,0.001,relu
27,0.22379209101200104,0.28142401576042175,50,[64, 64],0.0001,0.1,0.01,0,sigmoid
29,0.2235286980867386,0.28168973326683044,30,[64, 64],1e-05,0.2,0,0.001,tanh
16,0.22348463535308838,0.28260186314582825,50,[64, 64],0.001,0.2,0,0.01,relu
28,0.2234136313199997,0.2816975712776184,30,[64, 64],0.0005,0.3,0.001,0.001,sigmoid
27,0.22341948747634888,0.2834245264530182,100,[64, 64],0.0005,0.3,0.001,0.01,sigmoid
22,0.2233446091413498,0.28224021196365356,20,[64, 64],0.0005,0.1,0,0,tanh
22,0.2233293205499649,0.28232476115226746,30,[64, 64],0.0001,0.1,0.01,0.001,relu
17,0.22332383692264557,0.2828271985054016,20,[64, 64],0.0005,0.3,0.01,0.01,relu
26,0.22331306338310242,0.2818368673324585,20,[64, 64],0.0005,0.2,0,0.01,sigmoid
34,0.22335579991340637,0.2822031080722809,30,[64, 64],0.001,0.2,0.01,0.01,relu
