round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
16,0.07508380711078644,0.08566060662269592,50,[64, 64],0.0005,0.1,0,0,tanh
16,0.07415991276502609,0.08946797996759415,20,[64, 64],0.0005,0.1,0.0001,0,tanh
16,0.0738028734922409,0.09170711040496826,30,[64, 64],0.0001,0.3,0.0001,0.01,sigmoid
16,0.07370002567768097,0.09324277192354202,50,[64, 64],0.0005,0.2,0.001,0.001,sigmoid
16,0.07360212504863739,0.09429745376110077,100,[64, 64],0.0001,0.1,0.001,0.01,relu
16,0.07355909049510956,0.09458822011947632,20,[64, 64],0.001,0.1,0.001,0.0001,sigmoid
21,0.07356033474206924,0.09507831186056137,50,[64, 64],0.0001,0.1,0,0.001,sigmoid
21,0.07353172451257706,0.09551535546779633,50,[64, 64],0.0005,0.3,0.01,0.0001,sigmoid
26,0.07353954017162323,0.09573207050561905,20,[64, 64],1e-05,0.1,0.01,0,sigmoid
29,0.07351391017436981,0.09602247178554535,30,[64, 64],0.001,0.3,0.01,0.001,sigmoid
19,0.07355840504169464,0.0958467572927475,20,[64, 64],0.001,0.3,0.0001,0.01,relu
30,0.07351525872945786,0.09585825353860855,100,[64, 64],1e-05,0.1,0.001,0,sigmoid
26,0.07351841032505035,0.09612569957971573,20,[64, 64],0.001,0.1,0.01,0.001,tanh
21,0.07356804609298706,0.09596344828605652,100,[64, 64],0.001,0.1,0,0.001,tanh
51,0.07350495457649231,0.09602297097444534,20,[64, 64],0.0001,0.2,0,0.0001,relu
19,0.07354006916284561,0.09605935961008072,50,[64, 64],0.0001,0.3,0,0.001,tanh
28,0.07354997098445892,0.09589255601167679,30,[64, 64],0.0005,0.2,0.01,0.0001,tanh
20,0.07351704686880112,0.09610898047685623,100,[64, 64],1e-05,0.2,0.01,0.001,sigmoid
27,0.07350432127714157,0.09599034488201141,100,[64, 64],0.0005,0.1,0.01,0,sigmoid
24,0.07352165132761002,0.09605230391025543,30,[64, 64],0.0005,0.2,0.0001,0.0001,tanh
25,0.07350817322731018,0.09595947712659836,50,[64, 64],1e-05,0.1,0,0,tanh
25,0.07351116836071014,0.09633172303438187,50,[64, 64],0.001,0.3,0.0001,0.01,tanh
18,0.0734945684671402,0.0961158275604248,20,[64, 64],0.0005,0.3,0,0.001,sigmoid
