round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
16,0.07581188529729843,0.08839107304811478,15,[64, 64],0.0001,0.1,0.0001,0.0001,tanh
16,0.07528647780418396,0.09234786778688431,15,[64, 64],0.001,0.3,0.0001,0.0001,relu
16,0.07515614479780197,0.09442662447690964,30,[64, 64],0.0005,0.1,0.001,0.01,tanh
16,0.07512103021144867,0.0951700508594513,15,[64, 64],0.0005,0.3,0.001,0.01,sigmoid
19,0.07509937137365341,0.09591244161128998,20,[64, 64],0.0001,0.2,0.01,0,tanh
17,0.07518815994262695,0.09595739096403122,20,[64, 64],0.0001,0.1,0.01,0.01,sigmoid
35,0.07505300641059875,0.09612102806568146,20,[64, 64],0.001,0.3,0,0,tanh
17,0.07512041181325912,0.09631236642599106,25,[64, 64],0.001,0.2,0,0,tanh
16,0.07509224861860275,0.09613481909036636,15,[64, 64],1e-05,0.3,0.001,0.01,sigmoid
53,0.07505184412002563,0.09617619216442108,20,[64, 64],1e-05,0.2,0.001,0.01,relu
43,0.07505042105913162,0.09624705463647842,25,[64, 64],0.001,0.3,0,0.0001,tanh
16,0.07505815476179123,0.09635657072067261,25,[64, 64],0.001,0.1,0,0.0001,relu
22,0.07505273818969727,0.09612894803285599,25,[64, 64],0.001,0.1,0,0.01,relu
18,0.0750298723578453,0.09630155563354492,15,[64, 64],0.0005,0.3,0.01,0.0001,relu
25,0.07501745969057083,0.0962248146533966,20,[64, 64],1e-05,0.1,0.001,0,tanh
18,0.07502182573080063,0.09615231305360794,25,[64, 64],0.001,0.2,0,0.0001,sigmoid
18,0.07503364980220795,0.09613096714019775,25,[64, 64],0.0005,0.1,0,0,tanh
16,0.07502094656229019,0.09654583036899567,30,[64, 64],1e-05,0.3,0,0.001,tanh
21,0.0750635415315628,0.09613050520420074,25,[64, 64],0.0005,0.2,0.001,0,relu
27,0.07500246167182922,0.09633542597293854,15,[64, 64],0.001,0.1,0,0.001,tanh
21,0.0749669075012207,0.09611167013645172,20,[64, 64],0.001,0.2,0.0001,0.001,relu
35,0.07501068711280823,0.09635152667760849,20,[64, 64],0.001,0.2,0.01,0.0001,relu
16,0.07505227625370026,0.0962023064494133,20,[64, 64],0.0001,0.1,0.01,0.001,relu
