round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
23,0.2499646693468094,0.2503453493118286,30,[64, 64],1e-05,0.2,0,0.0001,sigmoid
24,0.24919617176055908,0.25130292773246765,50,[64, 64],0.0005,0.1,0,0.0001,relu
16,0.2470376193523407,0.25359830260276794,30,[64, 64],1e-05,0.3,0.01,0.0001,tanh
16,0.24344679713249207,0.2573758661746979,100,[64, 64],1e-05,0.2,0.01,0.0001,relu
16,0.23958732187747955,0.2606591284275055,30,[64, 64],0.001,0.2,0.0001,0.001,relu
16,0.2361704260110855,0.2653350234031677,20,[64, 64],1e-05,0.2,0.001,0.01,relu
16,0.2332768589258194,0.2680162787437439,50,[64, 64],0.0005,0.1,0,0.0001,tanh
17,0.23087793588638306,0.27055272459983826,30,[64, 64],0.0005,0.3,0,0.01,relu
17,0.22898590564727783,0.2719888985157013,50,[64, 64],0.0005,0.2,0.01,0.01,tanh
16,0.22761277854442596,0.2739044427871704,30,[64, 64],0.0005,0.1,0,0.001,sigmoid
19,0.226363405585289,0.2751803696155548,50,[64, 64],0.0001,0.3,0.001,0.01,relu
16,0.22561724483966827,0.27625903487205505,50,[64, 64],1e-05,0.3,0.001,0,tanh
30,0.2246289998292923,0.27887460589408875,30,[64, 64],0.0001,0.1,0.001,0.0001,relu
31,0.22405004501342773,0.27805233001708984,100,[64, 64],0.001,0.3,0.0001,0.001,tanh
19,0.22379086911678314,0.27902302145957947,100,[64, 64],1e-05,0.1,0,0.001,tanh
18,0.22364823520183563,0.2787643373012543,100,[64, 64],0.0001,0.2,0,0,sigmoid
27,0.22347624599933624,0.28053712844848633,20,[64, 64],0.0005,0.2,0.01,0.001,relu
33,0.22336870431900024,0.27931833267211914,20,[64, 64],1e-05,0.2,0,0.0001,tanh
19,0.223348006606102,0.28002557158470154,20,[64, 64],0.001,0.1,0.0001,0.001,relu
19,0.22326049208641052,0.27967366576194763,50,[64, 64],0.001,0.3,0,0,tanh
28,0.22326119244098663,0.27918118238449097,30,[64, 64],1e-05,0.1,0.001,0.001,sigmoid
22,0.22321641445159912,0.27933427691459656,100,[64, 64],0.0005,0.2,0.0001,0.001,tanh
22,0.22323179244995117,0.2795073986053467,100,[64, 64],1e-05,0.3,0.001,0.001,tanh
