round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
33,0.08048493415117264,0.08896064013242722,50,[64, 64],1e-05,0.1,0.01,0.001,sigmoid
16,0.07880676537752151,0.09021712839603424,50,[64, 64],0.001,0.1,0,0.01,sigmoid
17,0.07778538763523102,0.09138473868370056,50,[64, 64],0.001,0.2,0,0,tanh
16,0.07725442200899124,0.09226306527853012,100,[64, 64],1e-05,0.2,0.0001,0.0001,relu
16,0.07688967883586884,0.09329649060964584,100,[64, 64],0.0001,0.1,0.01,0.0001,tanh
16,0.07672032713890076,0.09374071657657623,100,[64, 64],0.0001,0.2,0.01,0.0001,sigmoid
18,0.07660692185163498,0.09442102164030075,100,[64, 64],0.0001,0.3,0.01,0.001,sigmoid
16,0.07651212811470032,0.09507492929697037,100,[64, 64],0.0001,0.3,0.0001,0.01,relu
17,0.07647574692964554,0.09509345144033432,30,[64, 64],0.0005,0.3,0,0.001,tanh
17,0.07650251686573029,0.0952860414981842,100,[64, 64],0.0001,0.1,0,0.0001,tanh
18,0.07641834765672684,0.09565029293298721,20,[64, 64],0.0005,0.1,0.0001,0,relu
18,0.07641314715147018,0.09565416723489761,30,[64, 64],0.001,0.1,0.0001,0.01,relu
25,0.07643372565507889,0.09602376073598862,30,[64, 64],0.001,0.3,0.0001,0.001,tanh
26,0.07642344385385513,0.0960850641131401,50,[64, 64],0.001,0.3,0.0001,0.001,relu
26,0.0763930082321167,0.0963532105088234,30,[64, 64],0.001,0.3,0.01,0.001,tanh
16,0.07644975930452347,0.09608713537454605,50,[64, 64],0.0001,0.1,0,0,relu
24,0.07638703286647797,0.09627347439527512,100,[64, 64],0.0001,0.3,0.001,0.01,relu
25,0.07640694081783295,0.09633254259824753,20,[64, 64],1e-05,0.3,0,0,tanh
17,0.07641381770372391,0.09646245837211609,30,[64, 64],1e-05,0.3,0.0001,0.0001,tanh
28,0.07639295607805252,0.09633424133062363,100,[64, 64],0.0001,0.3,0.001,0,tanh
16,0.07641325145959854,0.09636294841766357,100,[64, 64],0.001,0.1,0.0001,0.001,tanh
17,0.07639776170253754,0.09629012644290924,100,[64, 64],0.001,0.3,0.001,0,tanh
29,0.076412133872509,0.09641418606042862,50,[64, 64],0.0001,0.2,0.01,0,relu
