round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
17,0.6642442345619202,0.678743839263916,10,[64, 64],0.0001,0.3,0.01,0,tanh
12,0.6629244685173035,0.6807629466056824,20,[64, 64],0.01,0.2,0,0.01,tanh
11,0.6616276502609253,0.6826268434524536,30,[64, 64],0.0001,0.3,0.001,0.001,relu
15,0.6599634885787964,0.6835452914237976,10,[64, 64],0.001,0.3,0.0001,0,tanh
11,0.6588109731674194,0.6860763430595398,30,[64, 64],0.0001,0.3,0.001,0,sigmoid
11,0.6575373411178589,0.6877758502960205,25,[64, 64],0.01,0.2,0.01,0.01,tanh
14,0.656043291091919,0.6897404789924622,25,[64, 64],0.0001,0.2,0.0001,0.0001,sigmoid
15,0.6545297503471375,0.6913085579872131,25,[64, 64],1e-05,0.2,0.0001,0.0001,relu
13,0.6532379388809204,0.6930165886878967,15,[64, 64],1e-05,0.1,0,0,relu
14,0.6517152786254883,0.6950995922088623,15,[64, 64],1e-05,0.2,0,0,relu
12,0.650585949420929,0.6969438195228577,10,[64, 64],1e-05,0.1,0.0001,0,tanh
11,0.6494449377059937,0.6986309885978699,10,[64, 64],0.001,0.2,0,0.001,sigmoid
13,0.6481398344039917,0.7005987763404846,30,[64, 64],0.01,0.2,0.0001,0.0001,relu
19,0.6463297009468079,0.7039427161216736,15,[64, 64],0.01,0.1,0.001,0.001,tanh
14,0.6450914740562439,0.7063983678817749,20,[64, 64],0.01,0.2,0.001,0.0001,relu
11,0.6441065669059753,0.7062800526618958,15,[64, 64],0.01,0.1,0.001,0,relu
11,0.6431689262390137,0.7106505632400513,10,[64, 64],0.001,0.2,0,0.0001,relu
11,0.6420883536338806,0.7107272148132324,20,[64, 64],0.01,0.2,0.0001,0.0001,relu
11,0.6411946415901184,0.7100757360458374,15,[64, 64],0.0001,0.1,0,0,sigmoid
11,0.640249490737915,0.7135459780693054,20,[64, 64],0.01,0.3,0,0.01,relu
11,0.6392200589179993,0.7169791460037231,20,[64, 64],0.1,0.1,0.01,0.001,relu
12,0.638237476348877,0.7174769043922424,25,[64, 64],1e-05,0.3,0.0001,0,sigmoid
15,0.6369857788085938,0.7178792357444763,30,[64, 64],0.0001,0.2,0,0.01,sigmoid
11,0.6361204981803894,0.7229514718055725,30,[64, 64],0.0001,0.1,0.001,0.01,sigmoid
12,0.6351403594017029,0.7205294370651245,10,[64, 64],0.001,0.1,0,0.01,tanh
13,0.6341060996055603,0.7238959670066833,20,[64, 64],0.0001,0.2,0.01,0.001,sigmoid
15,0.632880449295044,0.7275764346122742,30,[64, 64],1e-05,0.3,0.01,0.01,relu
14,0.6318511366844177,0.7251858711242676,25,[64, 64],0.001,0.2,0,0.01,tanh
