round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
25,0.6249340772628784,0.7888427972793579,100,[64, 64],0.0005,0.2,0,0.001,relu
32,0.6391932964324951,0.820078432559967,30,[64, 64],0.001,0.2,0.01,0,tanh
65,0.636776864528656,0.7498579621315002,20,[64, 64],0.0005,0.2,0.01,0.001,tanh
31,0.5011506676673889,0.9814168810844421,100,[64, 64],0.001,0.1,0.01,0.0001,tanh
196,0.7994803786277771,1.207689881324768,20,[64, 64],0.0005,0.3,0,0.01,sigmoid
44,0.6304880380630493,0.7827760577201843,30,[64, 64],0.0005,0.2,0.001,0,sigmoid
49,0.9459747076034546,1.3901653289794922,50,[64, 64],0.001,0.2,0.001,0.01,sigmoid
34,0.5917651653289795,0.8439555764198303,30,[64, 64],0.001,0.3,0.01,0.01,relu
57,0.6312828660011292,0.7652514576911926,20,[64, 64],0.0005,0.2,0.0001,0.01,tanh
24,0.6538890600204468,0.7962036728858948,20,[64, 64],0.001,0.1,0.0001,0.0001,tanh
300,0.7895987629890442,0.7900440096855164,20,[64, 64],1e-05,0.1,0,0.001,tanh
31,0.6285594701766968,0.8707297444343567,100,[64, 64],0.001,0.2,0.01,0.001,tanh
24,0.6310308575630188,0.8496012091636658,50,[64, 64],0.001,0.2,0.0001,0,tanh
300,9.431838989257812,9.448474884033203,50,[64, 64],1e-05,0.3,0.01,0.001,relu
17,0.6448532342910767,0.7796197533607483,20,[64, 64],0.001,0.1,0,0.0001,tanh
300,9.335797309875488,9.351239204406738,50,[64, 64],1e-05,0.2,0.01,0,sigmoid
44,0.6033572554588318,0.8112109899520874,50,[64, 64],0.001,0.3,0.0001,0.01,tanh
17,0.6334633231163025,0.7676175236701965,20,[64, 64],0.001,0.3,0,0,sigmoid
300,0.6914865374565125,0.8716726899147034,20,[64, 64],0.0001,0.2,0.001,0.001,relu
300,1.2985095977783203,1.5501071214675903,50,[64, 64],0.0001,0.1,0.01,0.01,sigmoid
300,9.800406455993652,9.80321979522705,100,[64, 64],1e-05,0.3,0.01,0.0001,relu
168,0.6320917010307312,0.7729136347770691,20,[64, 64],0.0001,0.1,0.01,0,sigmoid
272,0.6286765336990356,0.7966970205307007,20,[64, 64],0.0001,0.1,0.001,0.0001,tanh
