round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
93,0.6023699045181274,0.8498198986053467,30,[64, 64],0.0005,0.3,0.001,0.0001,relu
136,0.7295241355895996,1.105094075202942,20,[64, 64],0.001,0.1,0,0.01,sigmoid
270,0.703718900680542,0.7565395832061768,30,[64, 64],1e-05,0.3,0,0.0001,tanh
16,0.656352698802948,0.7718662023544312,50,[64, 64],0.0005,0.3,0,0.0001,tanh
44,0.6404220461845398,0.8387337327003479,100,[64, 64],0.0005,0.2,0.01,0,relu
26,0.549052357673645,0.8140074014663696,100,[64, 64],0.001,0.1,0.0001,0.001,relu
18,0.6466770172119141,0.7688812613487244,20,[64, 64],0.001,0.2,0,0.0001,sigmoid
28,0.6092444062232971,0.7929426431655884,50,[64, 64],0.001,0.1,0,0.001,tanh
300,2.2610371112823486,2.294463634490967,30,[64, 64],1e-05,0.2,0.001,0.01,relu
45,0.6580817103385925,0.8051313161849976,100,[64, 64],0.0005,0.2,0.01,0.0001,tanh
300,2.4334824085235596,2.3083693981170654,30,[64, 64],1e-05,0.1,0.001,0.01,tanh
47,0.6520580649375916,0.7878679037094116,50,[64, 64],0.0005,0.3,0.01,0.001,relu
158,0.6192015409469604,0.8009030222892761,100,[64, 64],0.0001,0.1,0.01,0,sigmoid
300,1.4155851602554321,1.488113522529602,100,[64, 64],1e-05,0.3,0.001,0.0001,relu
300,0.7730222344398499,0.8054547905921936,100,[64, 64],1e-05,0.2,0.0001,0.0001,sigmoid
17,0.639630138874054,0.7683882713317871,100,[64, 64],0.001,0.2,0,0.0001,tanh
300,9.332310676574707,9.362334251403809,20,[64, 64],1e-05,0.2,0.01,0.01,sigmoid
300,0.762254536151886,0.7796245813369751,100,[64, 64],1e-05,0.2,0.0001,0,tanh
300,8.785040855407715,8.8146333694458,50,[64, 64],1e-05,0.1,0.01,0.0001,sigmoid
300,8.505215644836426,8.525588989257812,100,[64, 64],1e-05,0.2,0.01,0.0001,tanh
115,0.6881822943687439,0.7818684577941895,20,[64, 64],0.0001,0.2,0.0001,0,tanh
300,0.6851136684417725,0.7123438119888306,30,[64, 64],1e-05,0.2,0,0.0001,sigmoid
69,0.6431425213813782,0.7936161756515503,20,[64, 64],0.0005,0.1,0.0001,0.01,relu
