round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
49,0.2092811018228531,0.3884192109107971,30,[64, 64],0.001,0.2,0,0.001,sigmoid
114,0.23332464694976807,0.3010195195674896,100,[64, 64],0.0005,0.1,0.001,0.001,tanh
19,0.20824851095676422,0.2876909077167511,50,[64, 64],0.001,0.3,0,0,tanh
31,0.23696941137313843,0.2680084705352783,50,[64, 64],0.001,0.1,0.001,0.0001,relu
300,6.98518705368042,6.995416641235352,20,[64, 64],1e-05,0.1,0.01,0,sigmoid
300,0.4474393427371979,0.48895642161369324,100,[64, 64],1e-05,0.2,0.0001,0.0001,tanh
300,1.687064528465271,1.6875900030136108,20,[64, 64],1e-05,0.3,0.001,0.0001,sigmoid
53,0.1598263531923294,0.3105495572090149,50,[64, 64],0.0005,0.3,0.001,0.001,relu
300,2.744425058364868,2.745215892791748,50,[64, 64],1e-05,0.2,0.001,0.01,sigmoid
300,1.4054031372070312,1.3814315795898438,20,[64, 64],1e-05,0.1,0.001,0.001,relu
39,0.19047746062278748,0.2983173131942749,30,[64, 64],0.001,0.3,0.001,0,sigmoid
139,0.15015918016433716,0.3783341348171234,30,[64, 64],0.0005,0.1,0.001,0,tanh
172,0.2129526436328888,0.35469070076942444,50,[64, 64],0.0005,0.2,0.0001,0,tanh
300,0.8109234571456909,0.8975620865821838,20,[64, 64],0.0001,0.2,0.001,0.01,sigmoid
300,0.2907908260822296,0.3997499346733093,100,[64, 64],0.0001,0.1,0.01,0,tanh
127,0.2575705945491791,0.2623077630996704,30,[64, 64],0.0005,0.2,0.01,0.01,relu
160,0.25057724118232727,0.25285619497299194,20,[64, 64],0.0001,0.3,0.01,0.0001,tanh
300,0.3731306791305542,0.37853461503982544,30,[64, 64],1e-05,0.3,0.0001,0.0001,relu
300,0.2937312126159668,0.3070179224014282,50,[64, 64],0.0001,0.2,0.0001,0,sigmoid
50,0.2611728608608246,0.3795054852962494,30,[64, 64],0.0005,0.1,0,0.0001,relu
300,0.2233107089996338,0.2873135209083557,30,[64, 64],0.0001,0.3,0.001,0.0001,tanh
67,0.1881554275751114,0.32074251770973206,30,[64, 64],0.0005,0.2,0,0.001,tanh
116,0.25395992398262024,0.262307345867157,100,[64, 64],0.0005,0.3,0,0.0001,sigmoid
