round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
13,0.6931355595588684,0.6937304139137268,4,[64, 64],1e-05,0.2,0.001,0,tanh
11,0.6931704878807068,0.6937043070793152,8,[64, 64],0.01,0.01,0.001,0.001,tanh
15,0.6930943131446838,0.6943895816802979,12,[64, 64],1e-05,0.1,0.01,0.0001,relu
15,0.6931593418121338,0.6938393115997314,16,[64, 64],0.001,0.2,0,0.01,relu
13,0.6931127905845642,0.6943631768226624,4,[64, 64],0.01,0.1,0,0.001,relu
18,0.6931363344192505,0.6943789124488831,4,[64, 64],1e-05,0.1,0.01,0.01,sigmoid
